A,B,C,D
0.411784390134,1.13807569206,45.48131,0.00300
1.07652909635,2.54964329353,44.56355,0.01184
0.34489344148,1.80565723965,44.48522,0.01201
0.290590871765,1.10406943431,44.94271,0.00330
0.319684970944,1.76770495149,44.85158,0.01119
0.50294939327,1.263780584,44.44037,0.00881
1.19595800775,2.54557521556,45.03819,0.00636
0.763753555315,1.30599736203,45.01922,0.01030
1.24410301871,2.43971162225,44.83776,0.01180
1.19381606994,2.67150888267,44.34770,0.01620
0.570942676518,2.02901699056,44.65749,0.02087
0.153155494143,0.952811935944,45.15750,0.00316
0.394001219369,1.93413995733,44.86974,0.00429
0.740282374066,2.43744248517,45.20451,0.00682
0.649247162104,2.17501196631,44.41496,0.02823
0.881435616162,2.32718548683,44.07756,0.01569
0.383542809336,1.99149854352,44.46839,0.01818
0.87757053782,2.20245059119,44.94597,0.01473
0.366255634055,1.1308942785,44.97579,0.00870
0.411800196929,1.81446071702,45.31695,0.00348
 0.543286517789,2.18795402481,44.42739,0.01001
0.478902159157,1.84455634218,44.67777,0.00818
1.06512633716,2.27147804042,44.66881,0.00996
0.703083100766,2.25612484893,43.97203,0.01931
0.990204685116,2.25523274851,45.32038,0.01521
1.12124802359,2.47857126034,44.90722,0.00845
0.792190458337,2.14673004083,46.03777,0.00271
1.10583809538,2.26670534395,44.68607,0.00933
0.468388320261,1.23320332027,44.85840,0.01403
0.417968429331,1.88652187198,44.66664,0.02041
0.768165442249,2.06223285744,44.89960,0.00945
0.403970419386,1.84750453231,45.16364,0.00529
0.886289248456,2.25110100541,45.38134,0.00108
0.460896997347,1.99599803784,44.71793,0.01262
0.666228435468,1.37272116886,44.52579,0.00859
0.594062390015,1.10299103302,44.77300,0.00709
1.51302978305,2.76442010892,44.90015,0.01635
0.499069519912,1.87208550147,44.95125,0.00533
0.747918536545,2.28501293585,44.86517,0.01167
0.180045860259,1.59909517227,44.04390,0.01457
0.776514506509,2.02035790101,44.63855,0.00636
0.94200107946,2.59103694028,44.54728,0.01244
0.759410813957,2.29321681098,44.77257,0.00811
0.965094325663,2.40521487415,45.09934,0.00988
0.45692909476,2.13609897227,45.06645,0.00483
0.982687062668,2.48125905672,44.86206,0.00619
0.829508118395,2.23212209372,45.78051,0.00221
1.17295705266,2.41024793855,44.68850,0.01901
0.723421192376,2.31895229106,45.12138,0.01090
0.651978901778,2.27301949933,44.82848,0.01646
0.568949301018,2.21498149013,45.09556,0.00355
0.940189421664,2.40309715366,44.48811,0.02844
0.428448353031,1.90121000276,45.38660,0.00364
1.25329980117,2.51626235361,44.78246,0.01541
0.728006028827,2.51636417307,44.95779,0.00549
0.314362608185,1.041615409,44.90453,0.01543
0.759760874964,2.16144007302,45.34227,0.00203
0.585899221309,2.05296091689,45.01199,0.00722
0.599250204948,2.1435243229,44.20388,0.01319
0.67807451047,1.15682645866,44.42333,0.00776
0.904523875991,2.32313444628,44.70367,0.01257
0.671128680236,2.18937594082,45.16175,0.00414
 0.606741296921,2.5609855837,44.19785,0.01503
1.1148622729,1.40908095745,44.47436,0.01178
0.58510152793,2.33782302595,44.48945,0.02412
0.577944890931,1.26335999455,45.16544,0.00446
0.724813570502,2.2941532538,44.73836,0.01216
0.607668559247,2.16203911536,44.70017,0.01567
0.470267530599,2.29190049231,44.99169,0.00923
,,45.37277,0.00411
,,44.99354,0.00965
,,44.65862,0.01016
,,44.56841,0.01574
,,44.65633,0.04556
,,44.59963,0.00717
,,44.73006,0.02122
,,44.47789,0.01137
,,45.01247,0.01123
,,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
