A,B,C
5.71580956338,45.48131,0.00300
2.63759170408,44.56355,0.01184
0.531011127983,44.48522,0.01201
0.183625367232,44.94271,0.00330
7.92889241052,44.85158,0.01119
0.197091543499,44.44037,0.00881
1.71559445493,45.03819,0.00636
0.246670043675,45.01922,0.01030
6.28434882073,44.83776,0.01180
2.70575271896,44.34770,0.01620
3.47393705214,44.65749,0.02087
3.17103819452,45.15750,0.00316
0.920595294757,44.86974,0.00429
0.420069972529,45.20451,0.00682
1.87073918033,44.41496,0.02823
3.40150502785,44.07756,0.01569
4.23027439225,44.46839,0.01818
1.57355351302,44.94597,0.01473
2.72470436521,44.97579,0.00870
0.251563726216,45.31695,0.00348
3.78083155184,44.42739,0.01001
0.298258874578,44.67777,0.00818
0.940077940158,44.66881,0.00996
3.72911413065,43.97203,0.01931
,45.32038,0.01521
0.414673290306,44.90722,0.00845
1.46086007282,46.03777,0.00271
7.69095769606,44.68607,0.00933
1.24306533433,44.85840,0.01403
0.0337337548785,44.66664,0.02041
1.6596225782,44.89960,0.00945
1.23315715872,45.16364,0.00529
3.33811137845,45.38134,0.00108
0.15103812421,44.71793,0.01262
0.557905346305,44.52579,0.00859
0.390857721762,44.77300,0.00709
0.278674855192,44.90015,0.01635
1.36424798622,44.95125,0.00533
0.218156306871,44.86517,0.01167
1.15537753889,44.04390,0.01457
1.76588785742,44.63855,0.00636
1.67676802858,44.54728,0.01244
0.163834540668,44.77257,0.00811
9.94806325793,45.09934,0.00988
0.418351791642,45.06645,0.00483
0.210566072362,44.86206,0.00619
0.885256785194,45.78051,0.00221
,44.68850,0.01901
1.72924234752,45.12138,0.01090
0.160813836752,44.82848,0.01646
0.571004530939,45.09556,0.00355
0.418288080817,44.48811,0.02844
0.589198715027,45.38660,0.00364
0.801019284981,44.78246,0.01541
4.50453014228,44.95779,0.00549
3.99418379745,44.90453,0.01543
4.04391947651,45.34227,0.00203
1.15910056487,45.01199,0.00722
2.00368680564,44.20388,0.01319
0.976539113985,44.42333,0.00776
2.77345360683,44.70367,0.01257
4.37524406474,45.16175,0.00414
0.164498063033,44.19785,0.01503
2.75764053145,44.47436,0.01178
0.106426510944,44.48945,0.02412
1.66624882411,45.16544,0.00446
1.03998727677,44.73836,0.01216
0.327799506171,44.70017,0.01567
1.58393407204,44.99169,0.00923
0.0472846294707,45.37277,0.00411
0.812140362812,44.99354,0.00965
0.425009366775,44.65862,0.01016
3.29439082232,44.56841,0.01574
6.34438182912,44.65633,0.04556
3.42694705695,44.59963,0.00717
0.739035758565,44.73006,0.02122
0.113311170323,44.47789,0.01137
0.562392474093,45.01247,0.01123
0.297777236187,44.55196,0.01556
,44.98618,0.00803
,45.06799,0.01807
,44.86777,0.01203
,44.71317,0.02774
,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
