A,B,C
2.62463083285,45.48131,0.00300
2.51065024417,44.56355,0.01184
0.114183105571,44.48522,0.01201
0.129539295655,44.94271,0.00330
0.115154754129,44.85158,0.01119
0.117424606437,44.44037,0.00881
0.978607654578,45.03819,0.00636
0.847419791925,45.01922,0.01030
3.51067382306,44.83776,0.01180
12.0917794476,44.34770,0.01620
4.25943293439,44.65749,0.02087
1.2659503864,45.15750,0.00316
0.23082063085,44.86974,0.00429
1.08637192389,45.20451,0.00682
4.21856397584,44.41496,0.02823
1.48022007361,44.07756,0.01569
3.0233556767,44.46839,0.01818
0.31287661021,44.94597,0.01473
0.186868802344,44.97579,0.00870
0.273018835877,45.31695,0.00348
0.247042607266,44.42739,0.01001
0.0966774574473,44.67777,0.00818
1.37807846987,44.66881,0.00996
0.775541129989,43.97203,0.01931
0.665576708251,45.32038,0.01521
4.32758673095,44.90722,0.00845
0.69547297396,46.03777,0.00271
2.57614409083,44.68607,0.00933
3.81836309958,44.85840,0.01403
1.47863373118,44.66664,0.02041
3.11313587594,44.89960,0.00945
0.416703316617,45.16364,0.00529
0.0866682748398,45.38134,0.00108
0.284866450036,44.71793,0.01262
0.510672546751,44.52579,0.00859
0.560143439523,44.77300,0.00709
0.720619204354,44.90015,0.01635
0.803198972342,44.95125,0.00533
0.959552711287,44.86517,0.01167
0.121836923783,44.04390,0.01457
0.379385513725,44.63855,0.00636
0.280059730029,44.54728,0.01244
0.090493529548,44.77257,0.00811
0.702631217978,45.09934,0.00988
0.351632247605,45.06645,0.00483
0.10517929661,44.86206,0.00619
1.20303712048,45.78051,0.00221
,44.68850,0.01901
0.231784276651,45.12138,0.01090
0.174375244967,44.82848,0.01646
0.0843090024455,45.09556,0.00355
,44.48811,0.02844
1.88695030011,45.38660,0.00364
0.297828530838,44.78246,0.01541
2.03666399792,44.95779,0.00549
2.73013238889,44.90453,0.01543
0.80772454528,45.34227,0.00203
0.33913061733,45.01199,0.00722
1.96583081582,44.20388,0.01319
1.98167066521,44.42333,0.00776
0.489230032873,44.70367,0.01257
1.78347383255,45.16175,0.00414
0.164495914197,44.19785,0.01503
1.37004518079,44.47436,0.01178
0.618152847313,44.48945,0.02412
0.286408568185,45.16544,0.00446
1.05543194473,44.73836,0.01216
3.3798447496,44.70017,0.01567
6.52397200177,44.99169,0.00923
0.304581493398,45.37277,0.00411
0.364720378386,44.99354,0.00965
3.4354517004,44.65862,0.01016
0.363129664647,44.56841,0.01574
2.03249063337,44.65633,0.04556
0.47069691593,44.59963,0.00717
0.159460433558,44.73006,0.02122
0.23398297777,44.47789,0.01137
1.34163861603,45.01247,0.01123
4.6360638814,44.55196,0.01556
0.450389807634,44.98618,0.00803
0.772784978711,45.06799,0.01807
1.25047624899,44.86777,0.01203
2.43634308633,44.71317,0.02774
1.82410104458,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
