A,B,C,D
2.26817316335,26.9873428338,45.48131,0.00300
1.88138839762,22.6621851471,44.56355,0.01184
0.00851266656908,0.198709325465,44.48522,0.01201
0.00279449702169,1.8043183719,44.94271,0.00330
,,44.85158,0.01119
0.00566364096668,0.140694315475,44.44037,0.00881
0.405779825273,27.5789149759,45.03819,0.00636
0.007937675188,0.435577003342,45.01922,0.01030
4.24674525839,36.6866408275,44.83776,0.01180
3.60188776171,32.5434692406,44.34770,0.01620
1.22509882866,22.8672135211,44.65749,0.02087
0.173463694529,20.4400173936,45.15750,0.00316
0.0183316803809,13.5544286905,44.86974,0.00429
0.0175194536019,2.06140238623,45.20451,0.00682
2.0325904658,29.8763512596,44.41496,0.02823
1.48333401599,29.3204831342,44.07756,0.01569
1.94297812545,30.6105596458,44.46839,0.01818
0.0466984781564,21.7522236541,44.94597,0.01473
0.5390103092,22.8183607743,44.97579,0.00870
0.00745536639895,2.10195970409,45.31695,0.00348
1.8007473567,43.8351731255,44.42739,0.01001
0.00326688586971,5.14279368208,44.67777,0.00818
0.0300655541966,12.5262782451,44.66881,0.00996
4.17455401035,25.7526370959,43.97203,0.01931
,,45.32038,0.01521
0.00910780174493,7.72413665738,44.90722,0.00845
2.95294001676,50.6659667208,46.03777,0.00271
2.34777521927,30.4422282905,44.68607,0.00933
0.088735439422,11.7944693103,44.85840,0.01403
0.00278338964763,6.12419048032,44.66664,0.02041
0.573764483405,19.1767847678,44.89960,0.00945
2.35481669564,23.9005259639,45.16364,0.00529
2.26077306916,32.0454443609,45.38134,0.00108
0.00297966923355,8.89292949354,44.71793,0.01262
0.0145461884925,2.49565853033,44.52579,0.00859
0.0322220522108,1.84765620686,44.77300,0.00709
0.0547756220934,14.9781872813,44.90015,0.01635
0.00768287025064,1.18312944572,44.95125,0.00533
0.123919957388,9.21905476283,44.86517,0.01167
0.00521745788993,3.38196930228,44.04390,0.01457
0.157122652596,19.8516625152,44.63855,0.00636
0.888345770894,3.73142548297,44.54728,0.01244
0.196677213394,11.28593373,44.77257,0.00811
0.00368947206799,0.471722407875,45.09934,0.00988
2.80572303051,34.543534478,45.06645,0.00483
0.00672203093926,4.82460302446,44.86206,0.00619
0.00616224640674,3.72118118995,45.78051,0.00221
0.0157463136595,14.6603081792,44.68850,0.01901
,,45.12138,0.01090
0.0342541132341,0.188133911412,44.82848,0.01646
0.00122700705696,1.12842454915,45.09556,0.00355
0.0134513580555,8.10963666905,44.48811,0.02844
0.543992776727,16.3019283836,45.38660,0.00364
0.00676441721169,0.861898334196,44.78246,0.01541
0.0460272265773,11.7932391607,44.95779,0.00549
0.0339234364028,5.53541198789,44.90453,0.01543
0.907802299792,16.3778294561,45.34227,0.00203
2.47712036385,35.7975058256,45.01199,0.00722
0.908429058162,24.7059214901,44.20388,0.01319
0.078730284869,15.9012944804,44.42333,0.00776
0.378484821694,23.8923343919,44.70367,0.01257
0.0411840699328,6.68257848675,45.16175,0.00414
0.288244265412,18.1075680425,44.19785,0.01503
1.84121613165,27.6721160596,44.47436,0.01178
0.00202252140867,0.775877701408,44.48945,0.02412
0.288907206251,37.55878242,45.16544,0.00446
0.00168699617078,0.934633701739,44.73836,0.01216
0.237567314788,4.2911251106,44.70017,0.01567
0.0343672799641,10.9575653643,44.99169,0.00923
0.00710825010456,1.49836881675,45.37277,0.00411
0.120211562438,25.4915157682,44.99354,0.00965
0.000863995952974,0.288960226791,44.65862,0.01016
0.0195845297523,2.7861242789,44.56841,0.01574
0.0528371942656,11.1626953068,44.65633,0.04556
0.870890046025,24.4392961883,44.59963,0.00717
2.3982424931,31.731084361,44.73006,0.02122
1.06703412086,35.6325925832,44.47789,0.01137
0.0621783756078,2.77978851553,45.01247,0.01123
0.00146740385478,2.94695155093,44.55196,0.01556
0.0158188819347,5.82326904323,44.98618,0.00803
0.00606422975417,6.89956069201,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
