A,B,C,D
3.53763736323,22.4237507651,45.48131,0.00300
1.24394609518,30.5002910901,44.56355,0.01184
0.00119396911145,0.242764905079,44.48522,0.01201
0.00998715299479,1.94555015169,44.94271,0.00330
0.0547231532745,16.1673263522,44.85158,0.01119
0.00135911166517,0.0420105773479,44.44037,0.00881
0.0207398695094,17.3518861488,45.03819,0.00636
0.0467351896926,2.2216445769,45.01922,0.01030
4.29279622372,27.8622623854,44.83776,0.01180
2.75847980293,40.8170502387,44.34770,0.01620
,,44.65749,0.02087
0.0446347205409,13.333778472,45.15750,0.00316
0.00295290371559,12.6152218157,44.86974,0.00429
0.135862537107,15.3190393852,45.20451,0.00682
3.40640995241,37.7336060039,44.41496,0.02823
0.180102181588,23.1481195374,44.07756,0.01569
2.79913819778,19.2179054572,44.46839,0.01818
0.00513706065543,7.96998169366,44.94597,0.01473
0.00177941949911,5.30705428336,44.97579,0.00870
0.00702788223636,2.46768420446,45.31695,0.00348
0.00261398536051,0.0930715579655,44.42739,0.01001
0.000957393485628,4.12030235379,44.67777,0.00818
0.109390476173,3.84644177487,44.66881,0.00996
0.0290623505838,7.87380855681,43.97203,0.01931
0.0255059205936,9.15846791668,45.32038,0.01521
0.0735634319379,8.75839977459,44.90722,0.00845
0.0219824117366,12.8554111642,46.03777,0.00271
5.4273506393,35.8102490687,44.68607,0.00933
0.32676077041,25.5028780901,44.85840,0.01403
0.127472140952,20.1863492,44.66664,0.02041
0.105022985408,28.5892674549,44.89960,0.00945
0.00652132331077,9.36268707811,45.16364,0.00529
0.00051766425917,4.6908677854,45.38134,0.00108
 0.0058952073741,8.8035114121,44.71793,0.01262
0.0244962434509,1.94596397093,44.52579,0.00859
0.0275976425941,5.26722678338,44.77300,0.00709
0.199147634602,3.93445029388,44.90015,0.01635
0.030077194464,2.47431048141,44.95125,0.00533
0.0137455426934,8.20047557356,44.86517,0.01167
0.00148265842994,1.52036452854,44.04390,0.01457
0.0134828218463,9.67195345088,44.63855,0.00636
0.00720402055118,10.0807116136,44.54728,0.01244
0.000849559252116,1.26759556427,44.77257,0.00811
0.0292738179358,14.0343349955,45.09934,0.00988
0.00550412261345,0.831765927403,45.06645,0.00483
0.00105871240029,3.11050120751,44.86206,0.00619
0.330075822503,4.11049238686,45.78051,0.00221
,,44.68850,0.01901
0.00225342624491,14.881677454,45.12138,0.01090
0.00302847056818,7.33240356168,44.82848,0.01646
0.00130520717531,3.49675759185,45.09556,0.00355
,,44.48811,0.02844
2.10582221164,2.95972359946,45.38660,0.00364
0.00298683869792,2.84475264469,44.78246,0.01541
1.97710932255,26.4021155475,44.95779,0.00549
0.603158713851,29.3862816213,44.90453,0.01543
0.0523242359778,26.3483742956,45.34227,0.00203
0.00244350623175,2.93550839013,45.01199,0.00722
0.260296523256,19.6995255912,44.20388,0.01319
0.118841915496,12.1648742629,44.42333,0.00776
0.0092710725707,8.21119064215,44.70367,0.01257
0.145675621805,20.0583188026,45.16175,0.00414
0.00206693985378,1.85205275385,44.19785,0.01503
0.176160546204,16.9930818179,44.47436,0.01178
0.603158713851,29.3862816213,44.48945,0.02412
0.0523242359778,26.3483742956,45.16544,0.00446
0.00244350623175,2.93550839013,44.73836,0.01216
0.260296523256,19.6995255912,44.70017,0.01567
0.118841915496,12.1648742629,44.99169,0.00923
0.0092710725707,8.21119064215,45.37277,0.00411
0.145675621805,20.0583188026,44.99354,0.00965
0.00206693985378,1.85205275385,44.65862,0.01016
0.176160546204,16.9930818179,44.56841,0.01574
0.0161604825353,13.5482078672,44.65633,0.04556
0.00499734953835,6.23009779505,44.59963,0.00717
0.0466282334476,22.4651719145,44.73006,0.02122
0.131392729434,21.535851661,44.47789,0.01137
0.131392729434,21.535851661,45.01247,0.01123
3.16642796772,39.1565797748,44.55196,0.01556
0.0107737970663,7.25536269739,44.98618,0.00803
0.010135114772,1.8391305282,45.06799,0.01807
1.2353936783,27.6751774451,44.86777,0.01203
0.00431663243108,0.918914841225,44.71317,0.02774
0.552361927407,26.1116755726,44.93590,0.01085
0.0180763783361,1.88362991262,44.57434,0.02606
0.00237683290573,2.61454645231,44.45962,0.01028
0.00295667242875,3.47681145845,45.73744,0.00214
0.0831945968456,19.5147298947,44.28572,0.01334
0.243707689078,26.875931171,44.39641,0.01567
0.0185626784736,12.3214856619,44.43794,0.01206
0.0279092726913,13.6139268153,44.40271,0.01366
2.28580961963,29.8880858885,44.66232,0.01430
0.387038680027,24.4763913112,,
1.85600210813,13.1367245345,,
