A,B,,
0.00460974299818,0.382610262895,45.48131,0.00300
0.203475960506,17.2605177081,44.56355,0.01184
0.000411211824809,0.0783063428668,44.48522,0.01201
0.000899954136663,0.925238525846,44.94271,0.00330
0.000849526639345,0.271260010415,44.85158,0.01119
0.00695332390957,1.55647750937,44.44037,0.00881
0.0486013523899,18.186459317,45.03819,0.00636
0.0597429081859,2.63145193759,45.01922,0.01030
0.119858060709,17.4238306282,44.83776,0.01180
0.232605053892,29.7573026825,44.34770,0.01620
0.00232066158459,10.2787825809,44.65749,0.02087
0.000403391959675,0.412602585238,45.15750,0.00316
0.00368585249093,7.13700274003,44.86974,0.00429
,,45.20451,0.00682
0.0125152028778,11.2389561731,44.41496,0.02823
0.0459657376703,18.3335117927,44.07756,0.01569
0.0104818306814,13.9575326866,44.46839,0.01818
0.0308469412235,20.0716838408,44.94597,0.01473
0.00177035062082,1.44799052558,44.97579,0.00870
0.000879002418194,4.29778118189,45.31695,0.00348
0.0057007984304,7.14905801567,44.42739,0.01001
0.000962508867735,9.10610176737,44.67777,0.00818
0.0372642978381,10.1723633499,44.66881,0.00996
0.01114420065,16.5048230082,43.97203,0.01931
0.102498738182,20.0629482128,45.32038,0.01521
0.0604630348369,12.3869412812,44.90722,0.00845
0.00784790879589,7.87375615244,46.03777,0.00271
0.00357168066531,10.4570316611,44.68607,0.00933
0.0652445894939,8.9676242536,44.85840,0.01403
0.00683988427252,2.47093387666,44.66664,0.02041
0.00744252911197,10.0237898971,44.89960,0.00945
0.00454834313329,3.83775643683,45.16364,0.00529
0.00272111474691,3.73418425613,45.38134,0.00108
0.027747322297,11.9765961725,44.71793,0.01262
0.0107248652489,2.51148787281,44.52579,0.00859
0.040361142446,2.92146403106,44.77300,0.00709
0.00386958597194,0.0805411769629,44.90015,0.01635
0.29695403615,24.8790108151,44.95125,0.00533
0.00439404365562,5.05017820653,44.86517,0.01167
0.0183349756777,11.6123510823,44.04390,0.01457
0.0829755618639,17.6530611882,44.63855,0.00636
0.000844709499701,0.54313487304,44.54728,0.01244
0.015796029068,11.9030932831,44.77257,0.00811
,16.6673778644,45.09934,0.00988
0.0307967517698,10.4001732924,45.06645,0.00483
0.0405627390814,17.0028841032,44.86206,0.00619
0.00330992232625,14.767304795,45.78051,0.00221
0.0715883278276,14.4399538944,44.68850,0.01901
0.0292390197853,10.6437241029,45.12138,0.01090
0.0728534337308,20.7318072635,44.82848,0.01646
0.0203254514756,15.2095980869,45.09556,0.00355
0.00962897278049,14.6137203823,44.48811,0.02844
0.00600205501238,6.58867646476,45.38660,0.00364
0.119168249957,18.1547482876,44.78246,0.01541
0.000843767103547,2.38084684469,44.95779,0.00549
0.227727282641,13.8047692588,44.90453,0.01543
0.0345123602155,21.5227733353,45.34227,0.00203
0.00187569237539,1.53124853505,45.01199,0.00722
0.0116080284503,12.790198096,44.20388,0.01319
0.000869732082687,5.40660526384,44.42333,0.00776
0.00755457303227,11.4127059328,44.70367,0.01257
0.00965530694592,1.7075946537,45.16175,0.00414
0.0329948809423,12.0830488832,44.19785,0.01503
0.00543741803816,2.05888109494,44.47436,0.01178
0.0576641289373,20.9068547114,44.48945,0.02412
0.291021317366,4.85550106044,45.16544,0.00446
0.00460051113297,10.1415904067,44.73836,0.01216
0.0109015554621,1.64193490584,44.70017,0.01567
0.0103700249089,13.2634891408,44.99169,0.00923
0.0317023803952,14.1477712377,45.37277,0.00411
0.00810872115297,8.43208541103,44.99354,0.00965
,,44.65862,0.01016
,,44.56841,0.01574
,,44.65633,0.04556
,,44.59963,0.00717
,,44.73006,0.02122
,,44.47789,0.01137
,,45.01247,0.01123
,,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
