A,B,C,D
0.0157958301546,16.8565443488,45.48131,0.00300
0.00410751055234,6.53281337154,44.56355,0.01184
0.00194456184681,8.39940772729,44.48522,0.01201
0.0163653040774,2.58632857107,44.94271,0.00330
0.0447949435158,14.8149776954,44.85158,0.01119
0.00368555230505,0.904213108109,44.44037,0.00881
0.0148739840738,13.6551369803,45.03819,0.00636
0.00510754636523,1.6802530861,45.01922,0.01030
0.153418879912,22.5149602421,44.83776,0.01180
0.459345819749,30.5362519509,44.34770,0.01620
0.00269680921035,10.9511738119,44.65749,0.02087
0.0126517174022,15.6224165317,45.15750,0.00316
0.00310318244285,10.561618785,44.86974,0.00429
0.00494125975733,1.90792625025,45.20451,0.00682
0.0161299825928,8.59499252593,44.41496,0.02823
0.000682333565042,9.19390031884,44.07756,0.01569
0.0301822580885,19.4487777725,44.46839,0.01818
0.00424824547684,11.2221150467,44.94597,0.01473
0.000852141488534,7.50265458021,44.97579,0.00870
0.0605848454134,4.72382543142,45.31695,0.00348
,,44.42739,0.01001
0.0119490706573,12.4050265689,44.67777,0.00818
0.0106376949412,10.191745966,44.66881,0.00996
0.064612764807,39.7920199312,43.97203,0.01931
0.00588615583869,34.6722882638,45.32038,0.01521
0.00955742642351,11.552969694,44.90722,0.00845
0.00338533947995,11.5623414977,46.03777,0.00271
0.0190411214324,11.8420797462,44.68607,0.00933
0.0903087696603,23.4416063649,44.85840,0.01403
0.0143049926031,13.3213596068,44.66664,0.02041
0.0186341713616,19.5811167477,44.89960,0.00945
0.00234339706514,8.23853922288,45.16364,0.00529
0.00588301123829,14.44537256,45.38134,0.00108
0.0329510027785,3.65556387637,44.71793,0.01262
0.00264399617301,3.94643713205,44.52579,0.00859
0.00281356453039,1.83245645127,44.77300,0.00709
0.00937346124083,3.12959406982,44.90015,0.01635
0.0209236099153,14.4624573889,44.95125,0.00533
0.00140964397999,3.33332388645,44.86517,0.01167
0.0161023222908,12.5047610566,44.04390,0.01457
0.00742662517692,9.08032503309,44.63855,0.00636
0.118703063277,17.9827139388,44.54728,0.01244
0.00301970173494,7.98052707055,44.77257,0.00811
0.0035457155611,8.02542546739,45.09934,0.00988
0.00314649408563,0.760373439693,45.06645,0.00483
0.0240727619743,18.2016360147,44.86206,0.00619
0.00193030652968,10.5018909835,45.78051,0.00221
0.000945109674276,4.45353097432,44.68850,0.01901
,,45.12138,0.01090
0.000766276908644,0.645295478239,44.82848,0.01646
0.0587428185628,15.621974262,45.09556,0.00355
0.00651926842362,5.18319175166,44.48811,0.02844
0.00297063879494,6.77723195583,45.38660,0.00364
0.0217726728951,13.9917809941,44.78246,0.01541
0.103705585053,20.8432373014,44.95779,0.00549
0.00168579808307,0.698445713312,44.90453,0.01543
0.0112989564236,11.9036080258,45.34227,0.00203
0.0636167735599,20.0173803661,45.01199,0.00722
0.00506229069805,9.44520580376,44.20388,0.01319
0.00856810863084, 9.05870199236,44.42333,0.00776
0.0301485293278,18.4943895675,44.70367,0.01257
0.0240495890449,20.2509937524,45.16175,0.00414
0.017948034611,13.3583057236,44.19785,0.01503
0.108851079059,35.7688778921,44.47436,0.01178
0.00735610337725,10.0813314222,44.48945,0.02412
0.00268057956779,3.96298109776,45.16544,0.00446
0.0065725890536,2.07929747792,44.73836,0.01216
0.0466257892282,14.2940016794,44.70017,0.01567
0.00490264712124,11.8433007154,44.99169,0.00923
0.0086636859448,10.2795967107,45.37277,0.00411
0.00376338919947,1.09887350618,44.99354,0.00965
0.00363488876161,14.9598639136,44.65862,0.01016
0.0148883468182,14.8230819586,44.56841,0.01574
0.203481875932,29.0892882508,44.65633,0.04556
0.291255999558,25.5231299302,44.59963,0.00717
0.00140739120307,7.38711799387,44.73006,0.02122
0.000691358981643,0.497308387358,44.47789,0.01137
0.00173958732635,6.48215056387,45.01247,0.01123
0.00975753475578,17.643611809,44.55196,0.01556
0.0813026782781,19.3222929729,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
