A,B,C
2.25803997131e-32,45.48131,0.00300
1.94612688968e-35,44.56355,0.01184
6.83287127204e-19,44.48522,0.01201
5.09609883794e-18,44.94271,0.00330
2.91318635002e-61,44.85158,0.01119
1.38262757366e-23,44.44037,0.00881
4.37225381236e-22,45.03819,0.00636
2.75091557514e-20,45.01922,0.01030
2.35129573975e-32,44.83776,0.01180
8.77378703721e-29,44.34770,0.01620
2.12238707813e-82,44.65749,0.02087
2.05117804095e-11,45.15750,0.00316
6.99888096678e-26,44.86974,0.00429
6.37964673843e-26,45.20451,0.00682
1.08051952653e-44,44.41496,0.02823
5.41448354691e-62,44.07756,0.01569
3.28895342337e-25,44.46839,0.01818
3.28895342337e-25,44.94597,0.01473
5.51691741448e-29,44.97579,0.00870
7.950287763e-20,45.31695,0.00348
6.71697564241e-41,44.42739,0.01001
5.7244742324,44.67777,0.00818
9.70268680664e-17,44.66881,0.00996
1.26242637205e-27,43.97203,0.01931
2814524.51368,45.32038,0.01521
1.641297799e-23,44.90722,0.00845
8.55374982616e-24,46.03777,0.00271
5.49825152491e-27,44.68607,0.00933
5.93321528073e-45,44.85840,0.01403
3.80280041189e-28,44.66664,0.02041
0.000162475206711,44.89960,0.00945
1.39310586407e-45,45.16364,0.00529
9.1766263242e-46,45.38134,0.00108
7.38254356312e-30,44.71793,0.01262
,44.52579,0.00859
1.08060058351e-26,44.77300,0.00709
,44.90015,0.01635
4.57403433442e-37,44.95125,0.00533
5.10703197711e-16,44.86517,0.01167
8.90648677921e-17,44.04390,0.01457
1.49650599858e-24,44.63855,0.00636
1.99948364864e-13,44.54728,0.01244
4.49116826092e-24,44.77257,0.00811
1.4425943927e-33,45.09934,0.00988
1.82579769975e-27,45.06645,0.00483
5.23769736075e-34,44.86206,0.00619
1.29927764322e-26,45.78051,0.00221
5.41751330023e-18,44.68850,0.01901
1.89044353208e-35,45.12138,0.01090
17.1511233701,44.82848,0.01646
4.74894483467e-25,45.09556,0.00355
1.41143230281e-33,44.48811,0.02844
4.67970328332e-37,45.38660,0.00364
7.1787824983e-18,44.78246,0.01541
5.51970208997e-40,44.95779,0.00549
2.69462051562e-29,44.90453,0.01543
3.20639206119e-27,45.34227,0.00203
3.23195159845e-44,45.01199,0.00722
7.78267324353e-31,44.20388,0.01319
3.70863541417e-56,44.42333,0.00776
3.94380418174e-19,44.70367,0.01257
7.94328714539e-59,45.16175,0.00414
1.28308838674e-31,44.19785,0.01503
3.56252309205e-35,44.47436,0.01178
3.25631129088e-43,44.48945,0.02412
3.68601160615e-23,45.16544,0.00446
1.1312438922e-39,44.73836,0.01216
5.5843037164e-21,44.70017,0.01567
5.13065893251e-32,44.99169,0.00923
2.19021291856e-56,45.37277,0.00411
5.5665317925e-40,44.99354,0.00965
1.63608025249e-20,44.65862,0.01016
3.75770917376e-29,44.56841,0.01574
2.16345056143e-16,44.65633,0.04556
2.82486559688e-47,44.59963,0.00717
3.35589393107e-40,44.73006,0.02122
1.19508486474e-21,44.47789,0.01137
4.05913924355e-37,45.01247,0.01123
9.20040512289e-24,44.55196,0.01556
3.07325680325e-41,44.98618,0.00803
9.71451744875e-49,45.06799,0.01807
,44.86777,0.01203
,44.71317,0.02774
,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
