A,B,C
2.55929777625e-39,45.48131,0.00300
5.87477095098e-33,44.56355,0.01184
5.37458758361e-14,44.48522,0.01201
3.7400921185e-22,44.94271,0.00330
,44.85158,0.01119
9.75113128089e-15,44.44037,0.00881
1.89051996553e-20,45.03819,0.00636
9.31754560071e-53,45.01922,0.01030
1.8241362868e-37,44.83776,0.01180
0.00560194387781,44.34770,0.01620
4.78117825759e-46,44.65749,0.02087
3.57502507364e-13,45.15750,0.00316
7.18637415011e-49,44.86974,0.00429
1.29400060577e-41,45.20451,0.00682
4.03077296096e-15,44.41496,0.02823
1.85934609405e-39,44.07756,0.01569
3.25341446039e-13,44.46839,0.01818
4.93726346448e-41,44.94597,0.01473
2.39672496766e-40,44.97579,0.00870
2.45752000571e-19,45.31695,0.00348
1.29591929525e-48,44.42739,0.01001
4.36945030639e-23,44.67777,0.00818
,44.66881,0.00996
4.11228689182e-29,43.97203,0.01931
6.36283432219e-52,45.32038,0.01521
,44.90722,0.00845
2.18282609819e-06,46.03777,0.00271
2.09067054393e-19,44.68607,0.00933
1.39613002534e-26,44.85840,0.01403
8.14623319898e-27,44.66664,0.02041
,44.89960,0.00945
4.5408183047e-26,45.16364,0.00529
3.84768226603e-35,45.38134,0.00108
4.36722989497e-17,44.71793,0.01262
,44.52579,0.00859
7.43461815937e-14,44.77300,0.00709
2.71186943282,44.90015,0.01635
7.27940458564e-36,44.95125,0.00533
,44.86517,0.01167
1.23965775558e-42,44.04390,0.01457
4.18724149126e-11,44.63855,0.00636
1.3620210946e-28,44.54728,0.01244
5.23782930997e-17,44.77257,0.00811
3.39507878446e-64,45.09934,0.00988
1.5191423754e-29,45.06645,0.00483
7.44687355745e-36,44.86206,0.00619
8.50283575453e-15,45.78051,0.00221
2.79350141055e-55,44.68850,0.01901
2.97336379983e-28,45.12138,0.01090
1.69067133528e-14,44.82848,0.01646
5.17509371362e-19,45.09556,0.00355
4.11016327312e-17,44.48811,0.02844
3.01874751688e-35,45.38660,0.00364
7.87474175372e-42,44.78246,0.01541
2.37089724699e-16,44.95779,0.00549
3.75179704831e-53,44.90453,0.01543
1.84958851886e-18,45.34227,0.00203
2.73930030355e-34,45.01199,0.00722
6.19757971675e-26,44.20388,0.01319
1.69302655064e-34,44.42333,0.00776
2.53381132187e-17,44.70367,0.01257
3.50962392629e-36,45.16175,0.00414
4.5170037039e-56,44.19785,0.01503
2.64129659243e-50,44.47436,0.01178
2.30882432091e-25,44.48945,0.02412
3.7054284578e+25,45.16544,0.00446
6.37662630044e-13,44.73836,0.01216
7.56295040626e-30,44.70017,0.01567
1.13418933635e-17,44.99169,0.00923
1.09247287802e-46,45.37277,0.00411
3.50844723034e-46,44.99354,0.00965
4.42441395454e-40,44.65862,0.01016
7.02525950042e-29,44.56841,0.01574
2.52977089551e-38,44.65633,0.04556
5.97127578131e-22,44.59963,0.00717
1.04821049647e-42,44.73006,0.02122
27293029248.2,44.47789,0.01137
9.3650947635e-46,45.01247,0.01123
1.88169169405e-38,44.55196,0.01556
6.2950427695e-41,44.98618,0.00803
3.75248354618e-32,45.06799,0.01807
1.36204652175e-06,44.86777,0.01203
,44.71317,0.02774
,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
