A,B,C
1.3214203225e-47,45.48131,0.00300
3.11986896185e-75,44.56355,0.01184
1.56920545244e-16,44.48522,0.01201
1.87378394515e-23,44.94271,0.00330
3.55659168647e-20,44.85158,0.01119
5.67079437e-25,44.44037,0.00881
0.00128645258971,45.03819,0.00636
3.32486437988e-16,45.01922,0.01030
1.08763298195e-12,44.83776,0.01180
9.80904127704e-09,44.34770,0.01620
6.32119457193e-28,44.65749,0.02087
1.92090965803e-36,45.15750,0.00316
9.69439844557e-58,44.86974,0.00429
1.33706153251e-31,45.20451,0.00682
1.50718733444e-14,44.41496,0.02823
9.30102292916e-49,44.07756,0.01569
3.53131279859e-20,44.46839,0.01818
1.75500767908e-14,44.94597,0.01473
5.15859534253e-25,44.97579,0.00870
1.31191981293e-39,45.31695,0.00348
1.07336704553e-24,44.42739,0.01001
2.55289065798e-25,44.67777,0.00818
6.11463847369e-35,44.66881,0.00996
1.46918017149e-20,43.97203,0.01931
2.98056518316e-44,45.32038,0.01521
4.77429131077e-05,44.90722,0.00845
2.23124462831e-19,46.03777,0.00271
1.4912440556e-35,44.68607,0.00933
4.78397857526e-13,44.85840,0.01403
2.41371771133e-52,44.66664,0.02041
1.38251410121e-19,44.89960,0.00945
1.04242778674e-25,45.16364,0.00529
3.44586781194e-33,45.38134,0.00108
1.61696707484e-34,44.71793,0.01262
1.42508433208e-06,44.52579,0.00859
2.29542798537e-41,44.77300,0.00709
,44.90015,0.01635
4.24304198106e-40,44.95125,0.00533
8.00315201143e-33,44.86517,0.01167
2.71011903763e-32,44.04390,0.01457
1.49986020649e-40,44.63855,0.00636
7.97448624644e-21,44.54728,0.01244
3.96793006746e-48,44.77257,0.00811
2.06277761515e-24,45.09934,0.00988
3.36593491742e-20,45.06645,0.00483
1.92402860542e-19,44.86206,0.00619
1.77768536854e-18,45.78051,0.00221
3.03642752588e-17,44.68850,0.01901
8.4276497635e-39,45.12138,0.01090
7.50881397777e-27,44.82848,0.01646
5.86049476319e-19,45.09556,0.00355
1.53453613548e-19,44.48811,0.02844
1.84173897275e-07,45.38660,0.00364
7.43762515364e-35,44.78246,0.01541
2.67352789545e-07,44.95779,0.00549
1.36457279153e-29,44.90453,0.01543
2.25623885591e-52,45.34227,0.00203
2.38064152563e-16,45.01199,0.00722
7.90229987685e-20,44.20388,0.01319
6.04574713142e-35,44.42333,0.00776
3.12988736685e-49,44.70367,0.01257
2.30478547227e-26,45.16175,0.00414
8.93715184455e-16,44.19785,0.01503
9.48548988424e-20,44.47436,0.01178
2.69301330322e-47,44.48945,0.02412
6.54860788621e-32,45.16544,0.00446
4.70307643961e-46,44.73836,0.01216
5.11712041603e-22,44.70017,0.01567
7.31957540797e-41,44.99169,0.00923
3.98116558473e-21,45.37277,0.00411
2.38732300029e-28,44.99354,0.00965
0.0660027434435,44.65862,0.01016
2.18637582684e-31,44.56841,0.01574
1.07840486735e-64,44.65633,0.04556
4.85870885212e-27,44.59963,0.00717
5.81838616691e-25,44.73006,0.02122
5.86015612302e-47,44.47789,0.01137
9.05662271243e-53,45.01247,0.01123
1.30238936375e-35,44.55196,0.01556
1.20860011648e-46,44.98618,0.00803
5.28820152144e-24,45.06799,0.01807
9.50421425762e-45,44.86777,0.01203
1.66659064523e-33,44.71317,0.02774
5.76573091728e-14,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
