A,B,C,D
5.75916074762e-26,4.93680061918e+36,45.48131,0.00300
1.40470717218e-33,4.98463926301e+123,44.56355,0.01184
7.38584100393e-37,1.14999774585e+99,44.48522,0.01201
7.38584100393e-37,1.14999774585e+99,44.94271,0.00330
2.26583738074e-24,7.12460301259e+86,44.85158,0.01119
2.51121132555e-10,8.89613900838e+111,44.44037,0.00881
2.04022205645e-28,1.12370034835e+64,45.03819,0.00636
9.67520369292e-28,4.90808708792e+78,45.01922,0.01030
2.79586428318e-32,2.01625567557e+84,44.83776,0.01180
7.9872011432e-39,8.88325392807e+105,44.34770,0.01620
2.65784540763e-58,2.2991517305e+68,44.65749,0.02087
3.8530615946e-43,2.45266191184e+112,45.15750,0.00316
2.70835267832e-17,2.70053637152e+56,44.86974,0.00429
1.89761958951e-15,2.48715534371e+100,45.20451,0.00682
2.33938138357e-36,6.84861117205e+82,44.41496,0.02823
1.77179782676e-16,3.4844806134e+110,44.07756,0.01569
1.91573207388e-10,2.46971683504e+65,44.46839,0.01818
2.52250022665e-12,2.32896000875e+51,44.94597,0.01473
1.47804309411e-35,4.00764370853e+40,44.97579,0.00870
8.76154917002e-42,2.38697466081e+36,45.31695,0.00348
1.27276358655e-07,5.49416858144e+149,44.42739,0.01001
3.72772099238e-33,1.56458044035e+103,44.67777,0.00818
,,44.66881,0.00996
1.54940222541e-29,2.55979122115e+68,43.97203,0.01931
4.28220305794e-27,3.80442249242e+26,45.32038,0.01521
4.78444188148e-34,1.12578293314e+151,44.90722,0.00845
2.60924992122e-30,4.67087248248e+84,46.03777,0.00271
9.14454654297e-33,2.55661126218e+101,44.68607,0.00933
1.42720168083e-17,,44.85840,0.01403
3.64472801225e-25,9.12355720294e+62,44.66664,0.02041
1.36222186563e-15,5.39688065553e+74,44.89960,0.00945
1.61491258581e-38,2.36425172777e+66,45.16364,0.00529
2.32525062271e-26,7.15684626531e+82,45.38134,0.00108
1.47819780505e-33,1.14132691096e+99,44.71793,0.01262
4.46538155933e-13,1.89151082558e+145,44.52579,0.00859
3.97998699307e-29,98088592396.3,44.77300,0.00709
2.15843141532e-25,1.88528268332e+89,44.90015,0.01635
1.29821812353e-19,1.41281312523e+57,44.95125,0.00533
2.48815169658e-18,4.03986011179e+98,44.86517,0.01167
9.12386270963e-17,2.13893517191e+75,44.04390,0.01457
2.30605797456e-29,5.32567906972e+38,44.63855,0.00636
,,44.54728,0.01244
3.14269243989e-32,8.43328450126e+59,44.77257,0.00811
4.58965525279e-41,7.58053550322e+146,45.09934,0.00988
4.58965525279e-41,7.58053550322e+146,45.06645,0.00483
6.24661297133e-23,2.84600081309e+127,44.86206,0.00619
3.08710390419e-59,7.89534533169e+88,45.78051,0.00221
9.58451814744e-25,1.00578864019e+57,44.68850,0.01901
9.12386270963e-17,2.13893517191e+75,45.12138,0.01090
,,44.82848,0.01646
1.12194890767e-47,54722.7143979,45.09556,0.00355
6.52278502496e-30,7.98741292727e+90,44.48811,0.02844
2.5941736346e-30,2.01278989847e+133,45.38660,0.00364
1.44101087233e-24,9.72182536145e+91,44.78246,0.01541
,,44.95779,0.00549
9.10284642556e-31,1.78430251519e+125,44.90453,0.01543
9.52431788618e-24,8.23183237724e+83,45.34227,0.00203
5.43491846446e-30,3.48828724171e+75,45.01199,0.00722
9.18155141158e-24,3.32680643837e+105,44.20388,0.01319
6.23995735192e-25,5.00247256423e+148,44.42333,0.00776
3.51702326359e-14,2.25850318354e+53,44.70367,0.01257
1.05557106032e-34,7.11768866339e+75,45.16175,0.00414
4.15226034299e-19,1.44399524704e+46,44.19785,0.01503
2.91385864268e-10,5.150898678e+94,44.47436,0.01178
3.05217323027e-38,1.9012075913e+50,44.48945,0.02412
3.95165845583e-37,9.65780662869e+41,45.16544,0.00446
9.56527290871e-34,5.33134797788e+71,44.73836,0.01216
1.38558050353e-17,4.68012341189e+115,44.70017,0.01567
1.72428832716e-29,6.59653834267e+18,44.99169,0.00923
8.71162286404e-21,1.53945777379e+65,45.37277,0.00411
1.37396051599e-53,6.76905452873e+147,44.99354,0.00965
3.70446193793e-20,1.61637930237e+32,44.65862,0.01016
4.605639852e-50,2.13411362063e+75,44.56841,0.01574
,,44.65633,0.04556
,,44.59963,0.00717
,,44.73006,0.02122
,,44.47789,0.01137
,,45.01247,0.01123
,,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
