A,B,C
7.62650836758e-51,45.48131,0.00300
7.1574083909e-20,44.56355,0.01184
2.56671441737,44.48522,0.01201
0.0168552639651,44.94271,0.00330
2.08156145475e-31,44.85158,0.01119
1.20105613021e-24,44.44037,0.00881
8.22660519808e-42,45.03819,0.00636
7.82458459033e-19,45.01922,0.01030
1.23620425137e-10,44.83776,0.01180
9.91277895875e-46,44.34770,0.01620
3.84590575204e-56,44.65749,0.02087
9.02964546126e-26,45.15750,0.00316
4.29233080765e-14,44.86974,0.00429
1.42159818243e-30,45.20451,0.00682
9.80477965484e-36,44.41496,0.02823
5.13334497376e-18,44.07756,0.01569
1.21056214998e-23,44.46839,0.01818
1.9845465302e-44,44.94597,0.01473
1.57661474791e-20,44.97579,0.00870
1.70668449661e-30,45.31695,0.00348
7.60627629747e-13,44.42739,0.01001
1.88887127876e-42,44.67777,0.00818
1.16236232608e-07,44.66881,0.00996
1.26846111361e-14,43.97203,0.01931
3.24050600356e-43,45.32038,0.01521
2.58657207761e-32,44.90722,0.00845
2.70746913138e-10,46.03777,0.00271
3.48145965593e-43,44.68607,0.00933
6.54706953707e-15,44.85840,0.01403
1067102.24722,44.66664,0.02041
1.95781481293e-39,44.89960,0.00945
1.10759691807e-42,45.16364,0.00529
0.378225311075,45.38134,0.00108
1.22646140957e-24,44.71793,0.01262
3.81701047241e-22,44.52579,0.00859
4.26993202296e-21,44.77300,0.00709
74856124641.8,44.90015,0.01635
3.64097232132e-40,44.95125,0.00533
6.91902613255e-35,44.86517,0.01167
4.64037850604e-09,44.04390,0.01457
3.9464947885,44.63855,0.00636
3.57159585416e-44,44.54728,0.01244
3.22195093099e-31,44.77257,0.00811
4.51075045557e-22,45.09934,0.00988
7.68947335239e-24,45.06645,0.00483
1.20368209997e-14,44.86206,0.00619
8.54135230304e-31,45.78051,0.00221
3.35489135933e-45,44.68850,0.01901
1.79231252272e-29,45.12138,0.01090
1.01728884696e-29,44.82848,0.01646
1.57768007441e-34,45.09556,0.00355
2.29730726911e-37,44.48811,0.02844
2.21862097595e-23,45.38660,0.00364
5.21866174954e-17,44.78246,0.01541
5.21943169115e-24,44.95779,0.00549
9.52943085026e-32,44.90453,0.01543
4.24351384563e-28,45.34227,0.00203
1.42058678743e-29,45.01199,0.00722
1.97913597137e-40,44.20388,0.01319
1.13621788728e-58,44.42333,0.00776
4.12861940241e-13,44.70367,0.01257
1.00294635287e-27,45.16175,0.00414
8.50693275308e-16,44.19785,0.01503
1.92547705578e-28,44.47436,0.01178
1.45226192425e-23,44.48945,0.02412
5.26712307657e-23,45.16544,0.00446
3.55356440208e-38,44.73836,0.01216
2.01892107179e-31,44.70017,0.01567
1.00605157541e-33,44.99169,0.00923
1.94354844339e-33,45.37277,0.00411
1.9859313684e-29,44.99354,0.00965
1.09696010647e-36,44.65862,0.01016
,44.56841,0.01574
9.86809044971e-29,44.65633,0.04556
2.88658433113e-21,44.59963,0.00717
5.4179491314e-49,44.73006,0.02122
4.38475454611e-46,44.47789,0.01137
1.78981978758e-13,45.01247,0.01123
0.0149072253189,44.55196,0.01556
,44.98618,0.00803
,45.06799,0.01807
,44.86777,0.01203
,44.71317,0.02774
,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
