A,B,C,D
0.0135265663589,0.0086608696291,45.48131,0.00300
0.0176993342442,0.0097977515707,44.56355,0.01184
0.24305011435,0.294363281217,44.48522,0.01201
0.0161395311429,0.0234484628302,44.94271,0.00330
0.027365656821,0.0141485265761,44.85158,0.01119
0.142690771856,0.147907672424,44.44037,0.00881
0.0389197850247,0.0259204591541,45.03819,0.00636
0.0326035829961,0.0326392813922,45.01922,0.01030
0.0218306812524,0.0112987861679,44.83776,0.01180
0.00717020712306,0.00356994743576,44.34770,0.01620
0.0463322047042,0.0292085880604,44.65749,0.02087
0.019183450612,0.0161687601619,45.15750,0.00316
0.0467726529155,0.0615801002927,44.86974,0.00429
0.0264834100711,0.0216879550287,45.20451,0.00682
0.0118483348493,0.00559055888857,44.41496,0.02823
0.0132846583346,0.0103325730291,44.07756,0.01569
0.0329347928549,0.0179111253509,44.46839,0.01818
0.019327901857,0.0264666456476,44.94597,0.01473
0.0419468493707,0.0273436543888,44.97579,0.00870
0.0105460587646,0.0111576436469,45.31695,0.00348
0.00946358543643,0.0099224259849,44.42739,0.01001
0.0274497617563,0.0353691985045,44.67777,0.00818
0.0215834764764,0.0237010765339,44.66881,0.00996
0.0321107213939,0.0211521887474,43.97203,0.01931
0.111889175857,0.0229494889606,45.32038,0.01521
0.0349475872337,0.0386903899071,44.90722,0.00845
0.00860176447331,0.00608522683878,46.03777,0.00271
0.0569059656679,0.0347599741287,44.68607,0.00933
0.0128313622492,0.011219691771,44.85840,0.01403
0.0114194319399,0.00874610058807,44.66664,0.02041
0.0116139195652,0.00657175099372,44.89960,0.00945
0.0105722473419,0.00677580542935,45.16364,0.00529
0.0165894685291,0.0117804192797,45.38134,0.00108
0.0134336051982,0.0179767407994,44.71793,0.01262
0.00702751202681,0.0052672061263,44.52579,0.00859
0.016431512774,0.0145201951506,44.77300,0.00709
0.00867293396628,0.00620658056514,44.90015,0.01635
0.0577577729822,0.0675100899746,44.95125,0.00533
0.0216993687506,0.0268495303765,44.86517,0.01167
0.0480085850889,0.0563060268854,44.04390,0.01457
0.0121172185305,0.00968222435556,44.63855,0.00636
0.0254465395293,0.0277639541462,44.54728,0.01244
0.0585976863979,0.0586153798986,44.77257,0.00811
0.0367322644408,0.0447032234168,45.09934,0.00988
0.0443300012371,0.0391078212367,45.06645,0.00483
0.0791949604063,0.109418459643,44.86206,0.00619
0.0214294744144,0.0259688158255,45.78051,0.00221
0.0351269480783,0.0329641989639,44.68850,0.01901
0.0110846245875,0.00489398578786,45.12138,0.01090
0.0930625531725,0.0946913133946,44.82848,0.01646
0.0619898460299,0.0770186901023,45.09556,0.00355
0.0480205568863,0.062353105066,44.48811,0.02844
0.112449881913,0.0688706969655,45.38660,0.00364
0.0280587237642,0.0466057593192,44.78246,0.01541
0.0536895314328,0.0428303677676,44.95779,0.00549
0.0795567811441,0.0906480523147,44.90453,0.01543
0.143319127542,0.071517383448,45.34227,0.00203
0.0174324816377,0.0104956067893,45.01199,0.00722
0.00755914775713,0.00613922882802,44.20388,0.01319
0.0332395500378,0.0294225717763,44.42333,0.00776
0.00956033470795,0.00610977595359,44.70367,0.01257
0.0175606054267,0.0204832671825,45.16175,0.00414
0.0103933625553,0.00784563274754,44.19785,0.01503
0.00969099784011,0.00611873127899,44.47436,0.01178
0.0354142338606,0.0535436732431,44.48945,0.02412
0.0336482772828,0.0261218911207,45.16544,0.00446
0.0293256690715,0.0368829545919,44.73836,0.01216
0.0295713052408,0.0183503641308,44.70017,0.01567
0.0230776149138,0.0227904167553,44.99169,0.00923
0.0448759313152,0.0527895937598,45.37277,0.00411
0.0260117985338,0.0240109280855,44.99354,0.00965
0.0292917377904,0.0390548945869,44.65862,0.01016
0.15246157216,0.15506982401,44.56841,0.01574
0.037422114676,0.0228495310791,44.65633,0.04556
0.0438628887118,0.0329529116842,44.59963,0.00717
0.0245173171879,0.0124656791831,44.73006,0.02122
0.106895419946,0.0917794650003,44.47789,0.01137
0.0181959998928,0.0162658557374,45.01247,0.01123
0.0317595181465,0.0432040128373,44.55196,0.01556
0.0383020236223,0.025454690358,44.98618,0.00803
0.00895953530121,0.0117955923888,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
