A,B,C,D
0.0112963624337,0.0118609238811,45.48131,0.00300
0.0224748912666,0.0128129829111,44.56355,0.01184
0.206401389576,0.269515334819,44.48522,0.01201
0.0137417088367,0.017775660213,44.94271,0.00330
0.0320520152581,0.0412311923529,44.85158,0.01119
0.253407239354,0.31059143936,44.44037,0.00881
0.0468873175417,0.0447543036375,45.03819,0.00636
0.0222616215445,0.0185867525542,45.01922,0.01030
0.0194924740526,0.0117853104435,44.83776,0.01180
0.00850955625864,0.00481842914605,44.34770,0.01620
0.0267672826542,0.0148235133761,44.65749,0.02087
0.0174291725695,0.0293379819175,45.15750,0.00316
0.0346284500808,0.0422533194676,44.86974,0.00429
0.0215284944274,0.0205393397606,45.20451,0.00682
0.0118022858453,0.0176258145139,44.41496,0.02823
0.0105561742012,0.0100346499119,44.07756,0.01569
0.0225346542715,0.0131572184487,44.46839,0.01818
0.0128293691048,0.0170902883533,44.94597,0.01473
0.0557116304641,0.0617822933913,44.97579,0.00870
0.0120554507216,0.0177687657116,45.31695,0.00348
0.0084802129428,0.0059155012549,44.42739,0.01001
0.0187104617006,0.0266400114589,44.67777,0.00818
 0.0187104617006,0.0266400114589,44.66881,0.00996
0.00651682724282,0.006273724215,43.97203,0.01931
0.023465251983,0.0245793775897,45.32038,0.01521
0.0201992147893,0.0168931833309,44.90722,0.00845
0.0114208143833,0.0123710539809,46.03777,0.00271
0.0188484923687,0.026580693151,44.68607,0.00933
0.009386021022,0.00404264795658,44.85840,0.01403
0.0622280490561,0.0784669971401,44.66664,0.02041
0.00837708522646,0.0114125940542,44.89960,0.00945
0.0132538635995,0.0107102152784,45.16364,0.00529
0.00707665211383,0.0101545683189,45.38134,0.00108
0.0133624105466,0.0159133036428,44.71793,0.01262
0.0152428660743,0.0148741724623,44.52579,0.00859
0.00881395965686,0.0143775194427,44.77300,0.00709
0.00757318006073,0.0100158851949,44.90015,0.01635
0.00552941998927,0.00520350633199,44.95125,0.00533
0.00978648255959,0.00917954043817,44.86517,0.01167
0.00677284668435,0.00871571312166,44.04390,0.01457
0.050359740082,0.058355285105,44.63855,0.00636
0.032558007415,0.0404393033421,44.54728,0.01244
0.0327105985363,0.0475697608545,44.77257,0.00811
0.135050813337,0.149363815765,45.09934,0.00988
0.00495537058676,0.0058370472113,45.06645,0.00483
0.0367823988982,0.0437704361511,44.86206,0.00619
0.108443177677,0.123709529203,45.78051,0.00221
0.0341259195888,0.0407300147847,44.68850,0.01901
0.0286752342963,0.0261222251961,45.12138,0.01090
0.055650488304,0.0671419188554,44.82848,0.01646
0.0127457578439,0.0242834596286,45.09556,0.00355
0.0417824919177,0.0458174618756,44.48811,0.02844
0.0119001768932,0.00539172634547,45.38660,0.00364
0.0320784776059,0.0523631000318,44.78246,0.01541
0.0518253924898,0.0628130126563,44.95779,0.00549
0.0273124209774,0.0174621798187,44.90453,0.01543
0.102248343798,0.0670299121938,45.34227,0.00203
0.0387519643596,0.0497194683358,45.01199,0.00722
0.0293932584087,0.0242730053463,44.20388,0.01319
0.0519773026261,0.0236989665937,44.42333,0.00776
0.178184581231,0.157799036948,44.70367,0.01257
0.0152882564493,0.0199172095266,45.16175,0.00414
0.00528241351953,0.00430751195254,44.19785,0.01503
0.0324114272198,0.03639594801,44.47436,0.01178
0.00815094794316,0.00814165145936,44.48945,0.02412
0.0121496024309,0.0124950736685,45.16544,0.00446
0.0055133027439,0.00437529921488,44.73836,0.01216
0.00930575894395,0.00801062693592,44.70017,0.01567
0.0273132323034,0.0442803989271,44.99169,0.00923
0.0295333699507,0.0170898130581,45.37277,0.00411
0.03051134198,0.0364543151742,44.99354,0.00965
0.0236186392106,0.0215954147251,44.65862,0.01016
0.0251036111008,0.0127928583449,44.56841,0.01574
0.0436955804974,0.0500042258015,44.65633,0.04556
0.0216001536214,0.0141755818934,44.59963,0.00717
0.016528629067,0.0240937596798,44.73006,0.02122
0.190892179084,0.217516914733,44.47789,0.01137
0.0386302974558,0.0388730134966,45.01247,0.01123
0.0391119329451,0.0237530469414,44.55196,0.01556
0.0183847556995,0.00978943768004,44.98618,0.00803
0.106862038773,0.0969572001397,45.06799,0.01807
0.017548210703,0.0184141583959,44.86777,0.01203
0.0285461503138,0.0349907277292,44.71317,0.02774
0.0456485083228,0.0288550315314,44.93590,0.01085
0.00836898889042,0.00779248502587,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
