A,B,C,D
0.0359107940642,0.0455382861192,45.48131,0.00300
0.0482230158145,0.0395687504013,44.56355,0.01184
0.404977353491,0.606288569127,44.48522,0.01201
0.0251068232939,0.0334397092436,44.94271,0.00330
0.0890014765539,0.134068661981,44.85158,0.01119
0.242631053927,0.280949745754,44.44037,0.00881
0.106573803141,0.0807051090732,45.03819,0.00636
0.0513935059997,0.0376459864635,45.01922,0.01030
0.0296868582559,0.0203217846244,44.83776,0.01180
0.0117392831605,0.00850646263191,44.34770,0.01620
0.0326707949887,0.0536035156343,44.65749,0.02087
0.0376400137764,0.0670845196113,45.15750,0.00316
0.0995614709784,0.102050518299,44.86974,0.00429
0.02632832122,0.0140094081135,45.20451,0.00682
0.0224374606578,0.0243255711046,44.41496,0.02823
0.0405070735306,0.0340889664174,44.07756,0.01569
0.0311942569966,0.0417499436301,44.46839,0.01818
0.058584521809,0.0583335440671,44.94597,0.01473
0.0325523652015,0.0492025997075,44.97579,0.00870
0.0271537087905,0.0318625140569,45.31695,0.00348
0.0375471802525,0.0555182078775,44.42739,0.01001
0.0217515947434,0.0290799241418,44.67777,0.00818
0.119432336316,0.121535904394,44.66881,0.00996
0.0200149052398,0.0242927729341,43.97203,0.01931
0.0244019553463,0.0195588473996,45.32038,0.01521
0.0172108766886,0.0158275126545,44.90722,0.00845
0.0213605549121,0.0275986819638,46.03777,0.00271
0.0302280663971,0.028238413769,44.68607,0.00933
0.0139054331727,0.0143332777548,44.85840,0.01403
0.0249835719827,0.0250460427157,44.66664,0.02041
0.0157201347853,0.0177453252813,44.89960,0.00945
0.0432272725309,0.0528792058546,45.16364,0.00529
0.0761827623297,0.131673830733,45.38134,0.00108
0.0591288185966,0.0510434577482,44.71793,0.01262
0.208180372953,0.2840568071,44.52579,0.00859
0.0687098729719,0.0938797367247,44.77300,0.00709
0.0695619975993,0.0777589195925,44.90015,0.01635
0.09478591388,0.0744623485476,44.95125,0.00533
0.0193727214212,0.0196318999405,44.86517,0.01167
0.0815324483085,0.0954652813107,44.04390,0.01457
0.0113917702392,0.00516708854625,44.63855,0.00636
0.0885346782132,0.0943209744536,44.54728,0.01244
0.043876529931,0.0601937727253,44.77257,0.00811
0.177188481197,0.126229738266,45.09934,0.00988
0.0290804408695,0.0344934268672,45.06645,0.00483
0.0594673136166,0.0721284544187,44.86206,0.00619
0.105228323682,0.110284987858,45.78051,0.00221
0.266259757099,0.252987424801,44.68850,0.01901
0.0324871916083,0.035796508039,45.12138,0.01090
0.0137406197815,0.0177408572612,44.82848,0.01646
0.0232045160552,0.039560080273,45.09556,0.00355
0.0114533721929,0.00813212529988,44.48811,0.02844
0.0249534897401,0.0237234030112,45.38660,0.00364
0.0532835574372,0.0775953227033,44.78246,0.01541
0.0763952878966,0.0587590544299,44.95779,0.00549
0.0310185397494,0.0421113824087,44.90453,0.01543
0.0519826182455,0.0590192739235,45.34227,0.00203
0.0262401409862,0.0253433243615,45.01199,0.00722
0.0971406314701,0.102652280144,44.20388,0.01319
0.04524613569,0.0603641408975,44.42333,0.00776
0.0266275870507,0.023201453265,44.70367,0.01257
0.173716175013,0.165606727,45.16175,0.00414
0.0688205606614,0.0877106085344,44.19785,0.01503
0.0621928809536,0.0468984786759,44.47436,0.01178
0.0206362538466,0.0133000139594,44.48945,0.02412
0.122797494941,0.167878056536,45.16544,0.00446
0.0281197042149,0.031794292911,44.73836,0.01216
0.0211819087236,0.0344239733802,44.70017,0.01567
0.0420169433011,0.033024776279,44.99169,0.00923
0.0193049070504,0.0232547325195,45.37277,0.00411
,,44.99354,0.00965
,,44.65862,0.01016
,,44.56841,0.01574
,,44.65633,0.04556
,,44.59963,0.00717
,,44.73006,0.02122
,,44.47789,0.01137
,,45.01247,0.01123
,,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
