A,B,C,D
130.202315927,1.94962663854,45.48131,0.00300
149.906769515,2.9182058012,44.56355,0.01184
105.10450014,1.73655985443,44.48522,0.01201
98.7179902652,1.61817345754,44.94271,0.00330
125.08947746,2.48590314417,44.85158,0.01119
87.6630656849,1.85892141408,44.44037,0.00881
87.2936690686,2.13580221911,45.03819,0.00636
127.47236906,1.73291800458,45.01922,0.01030
127.449660365,2.29400917308,44.83776,0.01180
135.415959646,2.1309840655,44.34770,0.01620
108.173489795,2.52985943909,44.65749,0.02087
101.057148456,2.10684960335,45.15750,0.00316
103.470655598,2.08617717884,44.86974,0.00429
100.57597302,1.76524395179,45.20451,0.00682
149.282667002,2.40229708479,44.41496,0.02823
135.54588888,2.21651768727,44.07756,0.01569
65.13084136,1.8066523732,44.46839,0.01818
160.199001421,3.0530809716,44.94597,0.01473
112.908715709,2.34308765448,44.97579,0.00870
117.786018854,1.73286060106,45.31695,0.00348
166.444608372,2.80643175001,44.42739,0.01001
91.563931227,1.74622222923,44.67777,0.00818
121.327412845,1.75396303655,44.66881,0.00996
114.224625789,2.93438463233,43.97203,0.01931
11.4036720654,1.61119525525,45.32038,0.01521
88.1767102064,1.80187213822,44.90722,0.00845
140.936177195,2.4559238188,46.03777,0.00271
120.900638548,1.82889180429,44.68607,0.00933
134.788222851,1.71812530821,44.85840,0.01403
116.876447832,2.13323174311,44.66664,0.02041
130.833114935,2.2455856241,44.89960,0.00945
135.028287878,2.99230045495,45.16364,0.00529
114.295519191,2.85962424605,45.38134,0.00108
162.373387762,1.70956421095,44.71793,0.01262
106.612696635,1.96845921804,44.52579,0.00859
108.937633323,1.8628222305,44.77300,0.00709
119.102896264,3.12687507836,44.90015,0.01635
116.056144307,1.93196092464,44.95125,0.00533
140.883506561,1.96940087924,44.86517,0.01167
117.941800729,1.75148263269,44.04390,0.01457
116.227187073,2.41770140549,44.63855,0.00636
111.469344735,2.70417583541,44.54728,0.01244
110.19565035,2.02800632368,44.77257,0.00811
114.965387719,1.76971408513,45.09934,0.00988
122.496410302,2.31085225488,45.06645,0.00483
120.325297781,1.62161631622,44.86206,0.00619
148.826464907,2.80303121502,45.78051,0.00221
130.225055654,2.03321372888,44.68850,0.01901
262.52652396,2.48683045357,45.12138,0.01090
114.865087145,2.64951020942,44.82848,0.01646
159.847903216,1.59079683599,45.09556,0.00355
62.3279918567,1.64188681991,44.48811,0.02844
109.335338247,2.21061461927,45.38660,0.00364
123.276934583,2.86843724152,44.78246,0.01541
112.524767771,2.27718709127,44.95779,0.00549
104.313460197,1.82470937714,44.90453,0.01543
113.442915048,1.80553482412,45.34227,0.00203
133.151339757,2.07257025472,45.01199,0.00722
98.5272824763,1.79932918381,44.20388,0.01319
105.857995225,1.97132986776,44.42333,0.00776
102.929584014,2.77103741618,44.70367,0.01257
138.219053222,1.88763924462,45.16175,0.00414
130.564146671,1.87797237969,44.19785,0.01503
262.777953639,2.19096253671,44.47436,0.01178
121.125522556,1.77137560293,44.48945,0.02412
101.75023925,2.06525413472,45.16544,0.00446
100.952530475,1.66280853909,44.73836,0.01216
91.2962261947,1.90234645505,44.70017,0.01567
118.548070679,1.6353324554,44.99169,0.00923
100.190161895,1.67382981876,45.37277,0.00411
114.289305411,1.71988489065,44.99354,0.00965
115.138407315,2.09102770739,44.65862,0.01016
93.1840013116,1.79507737242,44.56841,0.01574
124.917344055,2.42517405447,44.65633,0.04556
98.4336803566,2.09799358711,44.59963,0.00717
117.941504815,1.71711267622,44.73006,0.02122
79.302025457,2.3185719321,44.47789,0.01137
142.622397587,2.06066563754,45.01247,0.01123
125.12240504,1.57147462246,44.55196,0.01556
101.864754072,1.80994766317,44.98618,0.00803
125.64601555,1.64012032319,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
