A,B,C,D
141.824068915,3.04049654093,45.48131,0.00300
151.780280831,2.57459144247,44.56355,0.01184
92.6146599874,1.64189105391,44.48522,0.01201
110.824485425,2.39495279961,44.94271,0.00330
112.537535475,2.83336884595,44.85158,0.01119
82.6536216174,1.61335301303,44.44037,0.00881
90.3900986776,1.86814391883,45.03819,0.00636
115.311502957,2.15309424862,45.01922,0.01030
120.670277704,2.9457682354,44.83776,0.01180
128.871745744,2.02260417871,44.34770,0.01620
133.232825294,3.0913725272,44.65749,0.02087
105.613103809,2.95366966168,45.15750,0.00316
119.352667488,1.60415472159,44.86974,0.00429
105.764053269,1.92724850887,45.20451,0.00682
137.818424572,2.19714193957,44.41496,0.02823
127.747533166,1.83914588841,44.07756,0.01569
94.4952133031,2.87186362529,44.46839,0.01818
163.973034104,1.56627670396,44.94597,0.01473
107.659455238,1.52580050274,44.97579,0.00870
106.402032356,1.66293612934,45.31695,0.00348
191.654030711,1.66908318041,44.42739,0.01001
122.684015571,1.93819920001,44.67777,0.00818
79.6808134385,2.35158228291,44.66881,0.00996
113.158142093,2.41531769618,43.97203,0.01931
124.083039063,1.58319904209,45.32038,0.01521
103.324195767,2.84989504094,44.90722,0.00845
93.0814581203,1.65242090797,46.03777,0.00271
142.991843459,2.40695528686,44.68607,0.00933
119.52573807,3.34389441551,44.85840,0.01403
127.089446451,1.92286312382,44.66664,0.02041
114.236083137,3.04772803094,44.89960,0.00945
130.414648061,1.60112018283,45.16364,0.00529
158.669322496,1.73263067964,45.38134,0.00108
119.799947351,1.57656340103,44.71793,0.01262
100.223296457,3.07292006231,44.52579,0.00859
163.474968388,1.99181904999,44.77300,0.00709
105.780301771,2.63057724479,44.90015,0.01635
96.1410301619,1.89606026514,44.95125,0.00533
115.708116109,2.63504141462,44.86517,0.01167
114.448466236,1.59826552144,44.04390,0.01457
147.676885812,2.34053781645,44.63855,0.00636
110.270267168,1.66056794975,44.54728,0.01244
95.7004521329,2.00128401504,44.77257,0.00811
125.946150056,1.62080743583,45.09934,0.00988
131.956183373,1.65759089005,45.06645,0.00483
114.847625119,1.5002349743,44.86206,0.00619
118.982831208,1.93420382893,45.78051,0.00221
127.313709356,1.96640262865,44.68850,0.01901
107.139994637,1.54606642104,45.12138,0.01090
159.235245859,1.83876875317,44.82848,0.01646
125.963944853,1.66743403542,45.09556,0.00355
325.682353962,2.22319122972,44.48811,0.02844
109.216010684,2.1073115731,45.38660,0.00364
144.245696712,1.61711429805,44.78246,0.01541
128.700878316,3.06703622296,44.95779,0.00549
116.350057787,2.30296822985,44.90453,0.01543
131.888559835,2.10132271024,45.34227,0.00203
114.424177945,2.72468172394,45.01199,0.00722
114.137993732,1.71283716935,44.20388,0.01319
103.098445644,1.85309499856,44.42333,0.00776
139.491236184,1.70976258731,44.70367,0.01257
103.800253519,1.90247115192,45.16175,0.00414
107.887504602,1.61912251218,44.19785,0.01503
115.073453781,1.8134913777,44.47436,0.01178
130.991654391,1.61026302518,44.48945,0.02412
139.909863081,1.88431957827,45.16544,0.00446
258.353909965,1.7157147366,44.73836,0.01216
106.595740807,2.16887895568,44.70017,0.01567
96.0485971941,2.43360817292,44.99169,0.00923
119.202722678,1.81316369666,45.37277,0.00411
103.00195261,1.82402660201,44.99354,0.00965
110.483401471,2.17519268256,44.65862,0.01016
76.9173599274,3.80618845972,44.56841,0.01574
99.5502639116,2.09875273522,44.65633,0.04556
117.632896015,1.78895666816,44.59963,0.00717
94.0190633796,1.67489456433,44.73006,0.02122
117.162653009,1.5564080843,44.47789,0.01137
95.3800941105,1.68862495461,45.01247,0.01123
94.6143262933,2.08421108089,44.55196,0.01556
79.8075016896,2.16890405764,44.98618,0.00803
144.270284897,2.26905325533,45.06799,0.01807
114.551376834,2.61918152273,44.86777,0.01203
109.263898204,1.8134845386,44.71317,0.02774
111.50977621,2.3504028973,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
