A,B,C,D
154.399354779,1.82977971978,45.48131,0.00300
150.212161079,2.29855129533,44.56355,0.01184
109.16860392,1.64157030372,44.48522,0.01201
117.03844569,1.66191521809,44.94271,0.00330
131.885923823,1.70273827672,44.85158,0.01119
94.4468180006,1.60018704846,44.44037,0.00881
102.201247441,1.72138012083,45.03819,0.00636
133.644247703,1.61954232393,45.01922,0.01030
122.880141986,2.85362797907,44.83776,0.01180
135.415959646,2.1309840655,44.34770,0.01620
115.575280015,3.12088954362,44.65749,0.02087
96.1240721962,1.88145207324,45.15750,0.00316
127.602538386,1.87168137906,44.86974,0.00429
109.954746892,1.79596738577,45.20451,0.00682
152.709658002,3.19629506858,44.41496,0.02823
132.538366472,2.13347433475,44.07756,0.01569
104.92043409,2.0252470025,44.46839,0.01818
166.146616486,1.94812653077,44.94597,0.01473
137.986398031,1.57030883685,44.97579,0.00870
116.624728616,1.63236856582,45.31695,0.00348
164.310608871,1.9204221209,44.42739,0.01001
129.123536368,1.77676824872,44.67777,0.00818
106.599550386,1.95637423508,44.66881,0.00996
132.337080925,1.9411936748,43.97203,0.01931
125.136068793,1.86231483525,45.32038,0.01521
140.673804739,1.74120079914,44.90722,0.00845
109.218394905,1.65111777369,46.03777,0.00271
142.991843459,2.40695528686,44.68607,0.00933
108.754940935,1.68020588992,44.85840,0.01403
147.972350933,1.660855373,44.66664,0.02041
121.084781644,1.65920737324,44.89960,0.00945
148.529707334,1.70531333463,45.16364,0.00529
158.854119973,1.71628660428,45.38134,0.00108
127.670153542,1.75000467355,44.71793,0.01262
108.112994363,2.06052395006,44.52579,0.00859
179.607859719,1.74032723318,44.77300,0.00709
114.334612478,1.94507667925,44.90015,0.01635
105.300263104,1.7225046495,44.95125,0.00533
149.95463012,2.07063516013,44.86517,0.01167
132.296113499,1.82677743157,44.04390,0.01457
160.43909008,1.54279970779,44.63855,0.00636
119.43447611,1.74603045845,44.54728,0.01244
108.271261666,1.57994351014,44.77257,0.00811
139.675007549,1.64566914688,45.09934,0.00988
150.164233683,1.78145343004,45.06645,0.00483
119.527432297,1.75250599992,44.86206,0.00619
129.45142719,1.71657514496,45.78051,0.00221
128.180931522,2.70039686707,44.68850,0.01901
118.879130313,1.51737900984,45.12138,0.01090
165.788756899,1.75536287859,44.82848,0.01646
142.610883415,1.69130378288,45.09556,0.00355
306.959601695,2.2246118372,44.48811,0.02844
111.242193065,2.45834260606,45.38660,0.00364
158.278091119,1.56155666235,44.78246,0.01541
110.405206088,3.15636196965,44.95779,0.00549
117.326510706,2.29980482614,44.90453,0.01543
145.675396449,1.62865639651,45.34227,0.00203
103.608234505,1.80606967491,45.01199,0.00722
95.8545826767,2.1374581855,44.20388,0.01319
106.811777563,2.43232670276,44.42333,0.00776
151.843720588,1.99932209468,44.70367,0.01257
101.706020108,2.07487372068,45.16175,0.00414
115.051335748,1.75254824573,44.19785,0.01503
118.638810117,1.71297296265,44.47436,0.01178
144.766432299,1.91585963786,44.48945,0.02412
151.831031846,1.70679199186,45.16544,0.00446
279.736000079,1.9613224687,44.73836,0.01216
120.083330839,1.70978923929,44.70017,0.01567
114.219733005,1.82273433412,44.99169,0.00923
118.094154784,1.61683952412,45.37277,0.00411
117.118201473,1.71299520056,44.99354,0.00965
72.1583967613,2.36341156866,44.65862,0.01016
120.250194795,1.54464725425,44.56841,0.01574
105.04606048,2.54992277984,44.65633,0.04556
116.978320652,1.64225136622,44.59963,0.00717
90.275393654,1.70286724557,44.73006,0.02122
110.590782996,1.75306031262,44.47789,0.01137
101.190162643,1.86306479474,45.01247,0.01123
109.244385631,2.11886492427,44.55196,0.01556
71.1702265972,2.3070906438,44.98618,0.00803
158.449948662,1.78212874413,45.06799,0.01807
137.917820127,1.54720611234,44.86777,0.01203
106.39387779,2.39875040038,44.71317,0.02774
119.673019795,2.1254036496,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
