A,B,C,D
106.092217615,1.78934023697,45.48131,0.00300
114.110141926,1.73836393785,44.56355,0.01184
67.1157424766,1.65279534791,44.48522,0.01201
71.6722330187,1.58376219469,44.94271,0.00330
90.909547311,1.73903223062,44.85158,0.01119
38.1239400537,1.80862884603,44.44037,0.00881
41.8833005655,1.71412839469,45.03819,0.00636
82.6870479573,1.68201751084,45.01922,0.01030
85.5219771552,1.87950702776,44.83776,0.01180
114.461894701,2.20185601693,44.34770,0.01620
69.4326236976,1.67376627348,44.65749,0.02087
61.4131055867,1.96565093013,45.15750,0.00316
55.4930250011,1.67727844468,44.86974,0.00429
113.929572134,3.37754778221,45.20451,0.00682
47.9972537228,1.74622838825,44.41496,0.02823
65.13084136,1.8066523732,44.07756,0.01569
113.431623778,1.85529281107,44.46839,0.01818
64.8878193344,1.98786750355,44.94597,0.01473
64.1025136273,1.45333105548,44.97579,0.00870
93.7880915195,1.8701776852,45.31695,0.00348
78.8440222151,1.69249240249,44.42739,0.01001
57.3749111497, 1.55465317887,44.67777,0.00818
74.3495281115,1.6696358582,44.66881,0.00996
69.092579013,1.66828964888,43.97203,0.01931
71.4070876774,1.71643218375,45.32038,0.01521
82.3451320683,1.72094232394,44.90722,0.00845
93.5223543183,1.57933938938,46.03777,0.00271
74.8358867829,1.9451044938,44.68607,0.00933
100.546046277,1.86716853781,44.85840,0.01403
53.352733216,1.70288257097,44.66664,0.02041
75.5628775997,1.92967943533,44.89960,0.00945
114.678430385,1.70368046065,45.16364,0.00529
64.2410445385,2.17351344373,45.38134,0.00108
58.5346880785,1.71342446506,44.71793,0.01262
74.1909829096,1.77933383891,44.52579,0.00859
67.854540043,2.05781604736,44.77300,0.00709
115.239858869,1.69379949906,44.90015,0.01635
57.5721459676,1.81373131546,44.95125,0.00533
97.6116705402,1.70069437735,44.86517,0.01167
89.4879044422,1.71376951088,44.04390,0.01457
230.115877161,2.62946301964,44.63855,0.00636
109.463109626,1.44097974182,44.54728,0.01244
62.443745479,1.61034586592,44.77257,0.00811
77.6907944494,1.90499057604,45.09934,0.00988
95.3666599217,1.67223883168,45.06645,0.00483
52.9529492346,1.58354736338,44.86206,0.00619
50.845828775,1.59712587144,45.78051,0.00221
43.5808383886,1.86337505497,44.68850,0.01901
105.317998489,1.60340594057,45.12138,0.01090
44.0422969367,1.66400871538,44.82848,0.01646
77.1441873104,1.65444428777,45.09556,0.00355
99.2708722986,1.62582840808,44.48811,0.02844
88.910094016,1.64906069527,45.38660,0.00364
163.598557455,1.73896053231,44.78246,0.01541
58.1301438016,1.86643754005,44.95779,0.00549
65.8130403382,1.76897765926,44.90453,0.01543
26.8886038743,1.5238543296,45.34227,0.00203
50.6859008151,1.64890733167,45.01199,0.00722
74.5014105969,1.63721732408,44.20388,0.01319
57.0229220095,1.63631340174,44.42333,0.00776
54.7987174165,1.59780387993,44.70367,0.01257
84.1315964154,1.86996996976,45.16175,0.00414
59.4847603185,1.67162095932,44.19785,0.01503
78.6665710034,1.61318633324,44.47436,0.01178
49.8455203669,1.77136082143,44.48945,0.02412
87.5933725645,1.80247123319,45.16544,0.00446
52.6311674054,1.57296894803,44.73836,0.01216
107.43310055,1.8742772029,44.70017,0.01567
44.0774247414,1.46747068059,44.99169,0.00923
67.5957562621,1.5000051186,45.37277,0.00411
87.2277143907,1.71089924554,44.99354,0.00965
,,44.65862,0.01016
,,44.56841,0.01574
,,44.65633,0.04556
,,44.59963,0.00717
,,44.73006,0.02122
,,44.47789,0.01137
,,45.01247,0.01123
,,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
