A,B,C,D
137.892281261,1.68733969474,45.48131,0.00300
113.125077775,1.56125200039,44.56355,0.01184
54.439426722,1.58575810983,44.48522,0.01201
65.5670991375,1.57660201579,44.94271,0.00330
100.51363346,1.80287523293,44.85158,0.01119
55.1077943166,1.59752955408,44.44037,0.00881
58.256014566,1.52164507808,45.03819,0.00636
78.3196616005,1.57333027497,45.01922,0.01030
98.9927310704,1.83582170866,44.83776,0.01180
115.243242005,4.1225647142,44.34770,0.01620
95.6338371528,1.6227155221,44.65749,0.02087
61.5905216707,1.69966321546,45.15750,0.00316
69.1532994617,1.58450701137,44.86974,0.00429
48.8032223981,1.559463575,45.20451,0.00682
118.717210268,1.5647045039,44.41496,0.02823
76.505207695,1.91648972271,44.07756,0.01569
74.8451184065,1.65714167024,44.46839,0.01818
119.769265968,1.60993143342,44.94597,0.01473
55.4180079713,1.67752861046,44.97579,0.00870
72.1911134472,1.73293523868,45.31695,0.00348
145.332053433,4.05994820741,44.42739,0.01001
62.1153049999,1.96672498064,44.67777,0.00818
71.5749753947,1.4875647439,44.66881,0.00996
 69.3748437803,1.84135356649,43.97203,0.01931
12.1248537634,1.70323124989,45.32038,0.01521
66.4995663665,1.56303580282,44.90722,0.00845
110.468086319,1.62478207524,46.03777,0.00271
78.7000261908,2.04953708254,44.68607,0.00933
62.7696588985,1.73378524937,44.85840,0.01403
87.0233088102,1.55714805756,44.66664,0.02041
82.3594703137,1.58295410021,44.89960,0.00945
102.902357315,1.66269744723,45.16364,0.00529
79.1491046962,1.538557059,45.38134,0.00108
54.6850243077,2.10381929222,44.71793,0.01262
111.662575099,1.45779134991,44.52579,0.00859
76.0111215997,1.957853525,44.77300,0.00709
52.0071366377,1.65917843955,44.90015,0.01635
83.4411403466,1.8157125405,44.95125,0.00533
99.105383611,1.55039709422,44.86517,0.01167
106.255932539,2.13224137735,44.04390,0.01457
59.6783602532,1.7325659229,44.63855,0.00636
72.2080547176,1.47519423108,44.54728,0.01244
97.8211674245,1.59154332506,44.77257,0.00811
59.1533509428,1.60702398667,45.09934,0.00988
134.099304963,2.36826433428,45.06645,0.00483
55.6600154623,1.53622334412,44.86206,0.00619
100.659644711,1.69861142558,45.78051,0.00221
99.6157107185,1.69240266477,44.68850,0.01901
282.225265903,1.70559322042,45.12138,0.01090
120.142104175,1.6052452699,44.82848,0.01646
88.7141289059,1.67618640487,45.09556,0.00355
91.6930471254,1.5813579234,44.48811,0.02844
104.287969619,1.51553701041,45.38660,0.00364
67.2316410418,1.51523983043,44.78246,0.01541
58.8887055843,1.71336741702,44.95779,0.00549
86.7136049305,1.5447962516,44.90453,0.01543
106.992710496,1.5881027664,45.34227,0.00203
68.9302115483,1.5917767933,45.01199,0.00722
63.2503517654,1.5301983479,44.20388,0.01319
83.3622420637,1.58921476245,44.42333,0.00776
111.650328778,1.7934407288,44.70367,0.01257
76.9655180822,1.57666155166,45.16175,0.00414
206.893463754,1.51154937408,44.19785,0.01503
78.3509420887,1.72038407875,44.47436,0.01178
79.9719786504,1.48613997155,44.48945,0.02412
89.7746871417,1.57082948829,45.16544,0.00446
56.8560546088,1.61330753487,44.73836,0.01216
67.9785918856,2.35148177254,44.70017,0.01567
57.4701995168,1.6405857098,44.99169,0.00923
 63.9961046763,1.5703173142,45.37277,0.00411
81.4403776604,1.58988918772,44.99354,0.00965
57.3919622716,1.75637226024,44.65862,0.01016
67.0726038078,1.53532835037,44.56841,0.01574
57.6498642928,1.37613940167,44.65633,0.04556
101.685505133,1.70323025064,44.59963,0.00717
36.8626229408,1.72920719066,44.73006,0.02122
120.631784585,1.55743095034,44.47789,0.01137
108.378964508,1.52277324306,45.01247,0.01123
57.7352500899,1.64535674565,44.55196,0.01556
83.2567503558,1.38368234633,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
