A,C,D
1.13345738875,45.48131,0.00300
1.16052318765,44.56355,0.01184
1.06708345162,44.48522,0.01201
1.1672572262,44.94271,0.00330
1.14795918031,44.85158,0.01119
1.2940090706,44.44037,0.00881
1.62376648863,45.03819,0.00636
1.2778306553,45.01922,0.01030
1.1119743243,44.83776,0.01180
1.06381018063,44.34770,0.01620
1.13806407125,44.65749,0.02087
1.37160966651,45.15750,0.00316
0.981415400281,44.86974,0.00429
1.0246171503,45.20451,0.00682
0.968373406051,44.41496,0.02823
1.32811840799,44.07756,0.01569
1.229618093,44.46839,0.01818
1.28735907722,44.94597,0.01473
0.997682223615,44.97579,0.00870
1.29720771874,45.31695,0.00348
1.00573558227,44.42739,0.01001
1.12690159146,44.67777,0.00818
1.09473861417,44.66881,0.00996
1.44165846899,43.97203,0.01931
0.985915794672,45.32038,0.01521
1.12989940845,44.90722,0.00845
1.11131138065,46.03777,0.00271
1.16185783528,44.68607,0.00933
1.21852846141,44.85840,0.01403
1.12679912579,44.66664,0.02041
1.0546270742,44.89960,0.00945
1.10785408625,45.16364,0.00529
0.97472877882,45.38134,0.00108
1.10719646621,44.71793,0.01262
1.14793650707,44.52579,0.00859
0.909839281267,44.77300,0.00709
1.15996223133,44.90015,0.01635
1.18865065267,44.95125,0.00533
1.40206807511,44.86517,0.01167
1.22065532472,44.04390,0.01457
1.10241688045,44.63855,0.00636
1.10173060477,44.54728,0.01244
1.32393935684,44.77257,0.00811
1.33943900266,45.09934,0.00988
1.05160780638,45.06645,0.00483
1.36265985496,44.86206,0.00619
0.974800617833,45.78051,0.00221
1.15093350474,44.68850,0.01901
1.23736992651,45.12138,0.01090
1.30710215186,44.82848,0.01646
1.34345273727,45.09556,0.00355
1.29645115531,44.48811,0.02844
1.05885898211,45.38660,0.00364
1.13677048425,44.78246,0.01541
0.908401418727,44.95779,0.00549
1.15062890458,44.90453,0.01543
1.13582456621,45.34227,0.00203
1.33723138949,45.01199,0.00722
1.04333698531,44.20388,0.01319
1.29848306969,44.42333,0.00776
1.50178519214,44.70367,0.01257
1.26421674412,45.16175,0.00414
1.12139701725,44.19785,0.01503
1.25409781583,44.47436,0.01178
1.3858887941,44.48945,0.02412
0.975498953288,45.16544,0.00446
1.19949226184,44.73836,0.01216
1.22875135867,44.70017,0.01567
1.31004723633,44.99169,0.00923
1.27687774018,45.37277,0.00411
1.1579840566,44.99354,0.00965
1.25584937721,44.65862,0.01016
1.69277692418,44.56841,0.01574
1.39348133971,44.65633,0.04556
1.17312881676,44.59963,0.00717
1.2867679508,44.73006,0.02122
1.1149761799,44.47789,0.01137
1.2390876376,45.01247,0.01123
1.23997634255,44.55196,0.01556
1.50939034106,44.98618,0.00803
1.31635831744,45.06799,0.01807
1.28875587569,44.86777,0.01203
0.968653530765,44.71317,0.02774
1.07768391547,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
