A,B,C
1.12866523022,45.48131,0.00300
0.928673738472,44.56355,0.01184
1.12835548627,44.48522,0.01201
1.29158043963,44.94271,0.00330
0.993959814838,44.85158,0.01119
1.24845742225,44.44037,0.00881
1.29594796902,45.03819,0.00636
1.22100739278,45.01922,0.01030
1.11023864794,44.83776,0.01180
1.33194931132,44.34770,0.01620
1.1594099498,44.65749,0.02087
1.0937785169,45.15750,0.00316
1.08782048375,44.86974,0.00429
1.26499572001,45.20451,0.00682
1.00895043947,44.41496,0.02823
1.14121133635,44.07756,0.01569
1.16943901465,44.46839,0.01818
1.17662985288,44.94597,0.01473
1.18910319939,44.97579,0.00870
1.1262447864,45.31695,0.00348
1.17780592803,44.42739,0.01001
1.34242709176,44.67777,0.00818
1.06983321607,44.66881,0.00996
1.96211749034,43.97203,0.01931
0.976220921667,45.32038,0.01521
1.59759428007,44.90722,0.00845
1.16018306453,46.03777,0.00271
1.3213202511,44.68607,0.00933
1.09149226702,44.85840,0.01403
1.11412580137,44.66664,0.02041
1.09574089057,44.89960,0.00945
0.938317239344,45.16364,0.00529
1.30423757635,45.38134,0.00108
1.23957468149,44.71793,0.01262
1.07622393342,44.52579,0.00859
1.11115597729,44.77300,0.00709
1.306288689,44.90015,0.01635
1.00841393741,44.95125,0.00533
1.26681225857,44.86517,0.01167
1.00804719016,44.04390,0.01457
1.10357386,44.63855,0.00636
1.1489178586,44.54728,0.01244
1.20784854575,44.77257,0.00811
1.05906104277,45.09934,0.00988
1.06528808362,45.06645,0.00483
1.13924246185,44.86206,0.00619
0.955395505252,45.78051,0.00221
1.31562783817,44.68850,0.01901
0.874351094626,45.12138,0.01090
0.988731671124,44.82848,0.01646
1.13024094886,45.09556,0.00355
1.2422931797,44.48811,0.02844
0.994617882006,45.38660,0.00364
1.03341029903,44.78246,0.01541
0.919749316974,44.95779,0.00549
1.09934163531,44.90453,0.01543
1.25570749915,45.34227,0.00203
0.998567756096,45.01199,0.00722
1.13093229008,44.20388,0.01319
1.11406249392,44.42333,0.00776
1.09678917217,44.70367,0.01257
1.01699258459,45.16175,0.00414
1.2697492739,44.19785,0.01503
1.16189246042,44.47436,0.01178
1.06221649507,44.48945,0.02412
1.12240840348,45.16544,0.00446
1.19260902178,44.73836,0.01216
1.17729438555,44.70017,0.01567
1.13133355637,44.99169,0.00923
1.08786433149,45.37277,0.00411
1.06003245409,44.99354,0.00965
0.951157588676,44.65862,0.01016
1.14375004984,44.56841,0.01574
1.36569455573,44.65633,0.04556
1.11357478542,44.59963,0.00717
1.19540474932,44.73006,0.02122
1.07226458657,44.47789,0.01137
1.02713490008,45.01247,0.01123
1.10392566291,44.55196,0.01556
,44.98618,0.00803
,45.06799,0.01807
,44.86777,0.01203
,44.71317,0.02774
,44.93590,0.01085
,44.57434,0.02606
,44.45962,0.01028
,45.73744,0.00214
,44.28572,0.01334
,0.01334,0.01387
,44.39641,0.01567
,44.43794,0.01206
,44.40271,0.01366
,44.66232,0.01430
