A,B,C,D
0.000240030502245,0.0492293210518,45.48131,0.00300
0.00993675186838,0.466189285457,44.56355,0.01184
9.76313891168e-06,0.00242981013421,44.48522,0.01201
6.29309828851e-06,0.0138416715124,44.94271,0.00330
0.000146408353168,0.0741227431978,44.85158,0.01119
3.88282630693e-05,0.000767768849392,44.44037,0.00881
0.000131123843885,0.199589198156,45.03819,0.00636
6.25613683721e-05,0.00201615190137,45.01922,0.01030
0.0185304067499,0.23783222059,44.83776,0.01180
0.00771461031285,0.224451513062,44.34770,0.01620
0.0242788339133,0.262688353464,44.65749,0.02087
2.44330920099e-06,0.00958175020106,45.15750,0.00316
0.000264168854186,0.117633826652,44.86974,0.00429
0.000458797932377,0.117058640125,45.20451,0.00682
0.00924481561125,0.233762122069,44.41496,0.02823
0.00211136651464,0.174080215988,44.07756,0.01569
0.0164331192413,0.411545395176,44.46839,0.01818
0.000292970054113,0.110451961064,44.94597,0.01473
4.40794317511e-05,0.0209680052858,44.97579,0.00870
1.10270341726e-05,0.00572876993055,45.31695,0.00348
0.0164364845212,0.108667233367,44.42739,0.01001
4.03608839246e-05,0.0274821266055,44.67777,0.00818
0.000169657237243,0.0194048625532,44.66881,0.00996
0.00076091897385,0.162789771759,43.97203,0.01931
0.00405439063164,0.275583139944,45.32038,0.01521
3.05114394367e-06,0.0512990008503,44.90722,0.00845
6.09260590968e-05,0.0157367284319,46.03777,0.00271
0.0646819090346,0.22213789407,44.68607,0.00933
8.42531860413e-05,0.193637493549,44.85840,0.01403
0.00028355033763,0.00028355033763,44.66664,0.02041
0.00209574669034,0.205957403754,44.89960,0.00945
7.86322701177e-05,0.0468108849921,45.16364,0.00529
3.46287390053e-06,0.0282372945269,45.38134,0.00108
5.87077527721e-05,0.0392098017022,44.71793,0.01262
3.28478055566e-07,0.00248363666347,44.52579,0.00859
0.000103983463165,0.0374923772717,44.77300,0.00709
1.26618815099e-17,0.0187657114428,44.90015,0.01635
0.000226191776161,0.0211100694802,44.95125,0.00533
1.03586422791e-05,0.0267795039952,44.86517,0.01167
0.000275838305866,0.0128171538469,44.04390,0.01457
2.28437894231e-05,0.00220203317434,44.63855,0.00636
1.90544515363e-05,0.00600982402519,44.54728,0.01244
7.56571075929e-06,0.00256260258913,44.77257,0.00811
0.00029912394796,0.121581350717,45.09934,0.00988
0.000312514614384,0.00478540921474,45.06645,0.00483
0.000200564763031,0.0135215554932,44.86206,0.00619
5.07811856561e-05,0.00175958577758,45.78051,0.00221
0.00219876705694,0.197086083774,44.68850,0.01901
3.064952876e-05,0.0801163295431,45.12138,0.01090
2.68846162643e-05,0.00547048859351,44.82848,0.01646
0.000103126285177,0.0224331567482,45.09556,0.00355
,,44.48811,0.02844
0.00540379243206,0.035642690221,45.38660,0.00364
2.89279817956e-05,0.00254266100273,44.78246,0.01541
0.0243417886446, 0.315894462258,44.95779,0.00549
0.00556983551163,0.289822201184,44.90453,0.01543
1.30284689428e-05,0.00128598791577,45.34227,0.00203
0.00153390301332,0.233375443914,45.01199,0.00722
0.0439345433937,0.576330486432,44.20388,0.01319
0.00314409075363,0.474179071623,44.42333,0.00776
0.000815132585671,0.140563441287,44.70367,0.01257
0.00170548451011, 0.244705326765,45.16175,0.00414
0.000105217456814,0.0103010682555,44.19785,0.01503
9.08652764744e-05,0.113935509889,44.47436,0.01178
0.0030870889246,0.18169457467,44.48945,0.02412
0.000226618434519,0.0433721575922,45.16544,0.00446
0.0041763252084,0.21658161962,44.73836,0.01216
2.72305517439e-05,0.0492270798514,44.70017,0.01567
0.0146326742884,0.354656712271,44.99169,0.00923
3.09721925015e-05,0.00568790033178,45.37277,0.00411
0.000470347931299,0.0237794130272,44.99354,0.00965
0.00239708775281,0.832287239758,44.65862,0.01016
2.97622982098e-05, 0.00521946733023,44.56841,0.01574
0.00859864802431,0.408295675421,44.65633,0.04556
6.10507128595e-05,0.0139240642482,44.59963,0.00717
6.57230481508e-05,0.00512834660679,44.73006,0.02122
0.000603910854035,0.106839775367,44.47789,0.01137
0.0112492608449,0.367318972014,45.01247,0.01123
0.0432445435581,0.46031012069,44.55196,0.01556
0.019907405249,0.916165230398,44.98618,0.00803
0.000153200292806,0.00368180979353,45.06799,0.01807
2.26555215732e-05,0.0274335746615,44.86777,0.01203
0.00849005106029,0.386608241212,44.71317,0.02774
0.000331500005814,0.204662706927,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
