A,B,C,D
6.49725796337e-05,0.00370712562636,45.48131,0.00300
0.00384668506534,0.25323547423,44.56355,0.01184
1.90244151591e-05,0.00363367818444,44.48522,0.01201
1.46565917582e-05,0.0120977565119,44.94271,0.00330
1.95916510827e-05,0.0061837933871,44.85158,0.01119
0.000285524572728,0.0442144157321,44.44037,0.00881
0.000837548999166,0.799201193072,45.03819,0.00636
0.00142789214727,0.0540429444559,45.01922,0.01030
0.00193219004926,0.266114322715,44.83776,0.01180
0.00217860696119,0.368536470238,44.34770,0.01620
2.32744079022e-05,0.135987974824,44.65749,0.02087
4.56567293395e-06,0.0071073562658,45.15750,0.00316
9.23696260625e-05,0.196196677699,44.86974,0.00429
0.0303799984195,0.569091143092,45.20451,0.00682
0.000106653040178,0.19427261718,44.41496,0.02823
0.000248237731876,0.415535829355,44.07756,0.01569
0.00015401398495,0.206434202602,44.46839,0.01818
0.000769202764432,0.374508337025,44.94597,0.01473
2.7122507704e-05,0.0192471237004,44.97579,0.00870
5.17719644029e-06,0.0644215094659,45.31695,0.00348
9.95174578578e-05,0.111789471128,44.42739,0.01001
6.45578008834e-08,0.143307126282,44.67777,0.00818
0.0012371602294,0.243944516252,44.66881,0.00996
0.000137575590115,0.229583430369,43.97203,0.01931
0.00160845751386,0.32233381357,45.32038,0.01521
0.000634027835286,0.264675618528,44.90722,0.00845
8.5228740382e-05,0.0841747751068,46.03777,0.00271
4.79694968918e-05,0.238310733815,44.68607,0.00933
0.000358662272349,0.0935011135505,44.85840,0.01403
4.75631976052e-05,0.044674530427,44.66664,0.02041
8.80875473273e-05,0.161417334729,44.89960,0.00945
7.40430290483e-05,0.0393166508317,45.16364,0.00529
8.35898312527e-05,0.0887198048586,45.38134,0.00108
0.000393005065056,0.313196824241,44.71793,0.01262
0.000432420453922,0.0599897511993,44.52579,0.00859
0.000905654074845,0.0618063688271,44.77300,0.00709
0.000106509988531,0.00178296477351,44.90015,0.01635
0.00862490121859,0.69307137434,44.95125,0.00533
4.82090642851e-05,0.0669029896838,44.86517,0.01167
0.000454056772407,0.233314096346,44.04390,0.01457
2.06244696528e-11,0.22767871136,44.63855,0.00636
1.56828961992e-05,0.00692730295312,44.54728,0.01244
0.000250908942762,0.200567001015,44.77257,0.00811
0.0179894290283,0.442071987693,45.09934,0.00988
0.000488940037315,0.129277454437,45.06645,0.00483
0.000850945161441,0.375767973585,44.86206,0.00619
0.00010625633611,0.385286989916,45.78051,0.00221
0.00314409075363,0.474179071623,44.68850,0.01901
0.000392595909408,0.135559250171,45.12138,0.01090
0.00152913270517,0.477881260427,44.82848,0.01646
0.000151066218166,0.191706578967,45.09556,0.00355
0.000130086973338,0.172106975376,44.48811,0.02844
4.53456531278e-18,0.118160012136,45.38660,0.00364
0.00187944261981,0.294724237649,44.78246,0.01541
1.53245419866e-05,0.0398164708396,44.95779,0.00549
0.00658842679,0.326044431722,44.90453,0.01543
0.000448488695549,1.38651909624,45.34227,0.00203
,0.0362243109196,45.01199,0.00722
0.000163852069018,0.205258552847,44.20388,0.01319
1.74110607457e-05,0.108552336701,44.42333,0.00776
0.000160899957324,0.176639860847,44.70367,0.01257
7.46301730976e-05,0.0285287277556,45.16175,0.00414
0.001258294186,0.335849815606,44.19785,0.01503
0.000128878896255,0.0387868927566,44.47436,0.01178
0.00213442930034,0.695898648775,44.48945,0.02412
0.00439474030845,0.0777863414762,45.16544,0.00446
0.000130902008751,0.234076823195,44.73836,0.01216
0.000144920820451,0.0173974166874,44.70017,0.01567
0.000138178932672,0.342241871762,44.99169,0.00923
0.000846385707196,0.275068965601,45.37277,0.00411
0.000132672469016,0.105473655376,44.99354,0.00965
,,44.65862,0.01016
,,44.56841,0.01574
,,44.65633,0.04556
,,44.59963,0.00717
,,44.73006,0.02122
,,44.47789,0.01137
,,45.01247,0.01123
,,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
