A,B,C,D
8.49890792829e-05,0.0833040477313,45.48131,0.00300
5.15451849642e-05,0.0666649343197,44.56355,0.01184
6.0208686662e-05,0.183441152404,44.48522,0.01201
6.60587627288e-08,0.05388042316,44.94271,0.00330
1.90488964454e-05,0.206973443142,44.85158,0.01119
0.000106366108067,0.0186930011933,44.44037,0.00881
0.000100896567116,0.287839427702,45.03819,0.00636
3.07615563269e-05,0.0217800734812,45.01922,0.01030
0.00196746678947,0.280216584224,44.83776,0.01180
0.00260423958516,0.224694164819,44.34770,0.01620
1.85959770786e-05,0.117266998638,44.65749,0.02087
2.4697882122e-05,0.0985667080024,45.15750,0.00316
3.20691294116e-05,0.0309091725388,44.86974,0.00429
0.00017383657745,0.066413434566,45.20451,0.00682
4.65512268969e-06,0.10808413105,44.41496,0.02823
0.000168008909129,0.355652225366,44.07756,0.01569
3.95844588943e-05,0.0974592433716,44.46839,0.01818
1.15772658236e-05,0.12990238362,44.94597,0.01473
1.0202839069e-05,0.160878201569,44.97579,0.00870
,,45.31695,0.00348
1.42033081285e-05,0.645919008955,44.42739,0.01001
8.15144154875e-06,0.110811471579,44.67777,0.00818
4.3341623209e-05,3.84139965563,44.66881,0.00996
4.49039197902e-05,13.6131690866,43.97203,0.01931
5.69005220375e-05,0.137679549841,45.32038,0.01521
2.23847748917e-05,0.0807874693172,44.90722,0.00845
1.32169064724e-05,0.204187876684,46.03777,0.00271
0.000820025213873,0.493655480315,44.68607,0.00933
5.48649023029e-05,0.220087617112,44.85840,0.01403
5.44776236973e-09,0.50429786541,44.66664,0.02041
 1.24529549385e-05,0.0874016854933,44.89960,0.00945
2.49004263397e-05,0.155039080876,45.16364,0.00529
3.37801156981e-05,0.265719802902,45.38134,0.00108
1.99244226699e-05,0.0259557069164,44.71793,0.01262
1.1457110823e-06,0.0158880251597,44.52579,0.00859
1.19734566186e-05,0.0957275642526,44.77300,0.00709
1.977425655e-13,0.218800155599,44.90015,0.01635
1.41526094616e-05,0.0252329538679,44.95125,0.00533
0.000188754495832,0.117565254954,44.86517,0.01167
1.60030873487e-05,0.157962006792,44.04390,0.01457
9.89558903825e-07,0.389069969019,44.63855,0.00636
3.3713680944e-05,0.0555195345115,44.54728,0.01244
6.53423744887e-05,0.127706799,44.77257,0.00811
3.51464017669e-05,0.00567475767408,45.09934,0.00988
0.000256674670945,0.340549965207,45.06645,0.00483
6.05864492728e-06,0.0939165313052,44.86206,0.00619
9.99576214825e-06,0.0523507651785,45.78051,0.00221
0.117436418829,1497.50452282,44.68850,0.01901
9.41149607808e-06,0.00741218454693,45.12138,0.01090
0.00060286631599,0.257108151348,44.82848,0.01646
0.00010269712687,0.0673630590546,45.09556,0.00355
3.09646047601e-05,0.0729407459292,44.48811,0.02844
0.000246872113776,0.238551906659,45.38660,0.00364
0.00170801595625,0.667608359803,44.78246,0.01541
4.07769626251e-05,0.0142090587117,44.95779,0.00549
0.00011314802227,0.111071426323,44.90453,0.01543
0.000498260906201,0.402165967584,45.34227,0.00203
5.41062978426e-05,0.114324648095,45.01199,0.00722
2.33111874643e-05,0.308876154912,44.20388,0.01319
0.000279332151491,0.144408602301,44.42333,0.00776
8.57031816857e-06,0.226646646934,44.70367,0.01257
0.000140751695726,0.0942384593224,45.16175,0.00414
1.73273913027e-05,1.66904785503,44.19785,0.01503
5.52274480878e-05,0.106326878394,44.47436,0.01178
3.33637501624e-05,0.0390653134553,44.48945,0.02412
6.20114868096e-05,0.0429853442958,45.16544,0.00446
0.000263977487567,0.290010386287,44.73836,0.01216
6.5376591632e-05,0.160363766996,44.70017,0.01567
7.34226297202e-05,0.141637037985,44.99169,0.00923
3.86754040566e-05,0.0113838197448,45.37277,0.00411
4.90404006445e-05,0.268951565288,44.99354,0.00965
0.000205964679124,0.204067218941,44.65862,0.01016
1.79831787669e-16,1.33211387236,44.56841,0.01574
0.00292475312458,0.272052787316,44.65633,0.04556
2.66519892773e-05,0.178662788519,44.59963,0.00717
5.92238095416e-06,0.00382917739282,44.73006,0.02122
1.90329929062e-05,0.061661015316,44.47789,0.01137
4.23401261348e-05,0.249341073528,45.01247,0.01123
1.72594343286e-07,0.44036104711,44.55196,0.01556
,,44.98618,0.00803
,,45.06799,0.01807
,,44.86777,0.01203
,,44.71317,0.02774
,,44.93590,0.01085
,,44.57434,0.02606
,,44.45962,0.01028
,,45.73744,0.00214
,,44.28572,0.01334
,,0.01334,0.01387
,,44.39641,0.01567
,,44.43794,0.01206
,,44.40271,0.01366
,,44.66232,0.01430
